,time,open,high,low,close,tick_volume,spread,real_volume
0,1349049600,1.28488,1.28495,1.28031,1.28064,3145,0,0
1,1349056800,1.28065,1.28224,1.2805,1.28141,2916,0,0
2,1349064000,1.2814,1.28235,1.28044,1.282,2425,0,0
3,1349071200,1.28203,1.28301,1.28158,1.28285,2310,0,0
4,1349078400,1.28287,1.28766,1.2825,1.2866900000000001,5102,0,0
5,1349085600,1.28667,1.29099,1.28634,1.2898800000000001,5480,0,0
6,1349092800,1.28991,1.29001,1.28817,1.28819,4212,0,0
7,1349100000,1.28819,1.29261,1.28756,1.2907600000000001,4966,0,0
8,1349107200,1.2907600000000001,1.29382,1.2896,1.28987,5753,0,0
9,1349114400,1.2898800000000001,1.29058,1.28831,1.28964,4690,0,0
10,1349121600,1.28963,1.28965,1.28765,1.28878,2800,0,0
11,1349128800,1.28879,1.2892000000000001,1.28838,1.2886,1571,0,0
12,1349136000,1.2885900000000001,1.2893,1.2884,1.28874,1112,0,0
13,1349143200,1.28875,1.2901500000000001,1.28867,1.28998,1699,0,0
14,1349150400,1.28996,1.29048,1.28936,1.28937,1149,0,0
15,1349157600,1.28936,1.29172,1.2883200000000001,1.29128,3184,0,0
16,1349164800,1.29124,1.2913999999999999,1.28797,1.28967,4817,0,0
17,1349172000,1.28964,1.2922799999999999,1.28935,1.29107,4949,0,0
18,1349179200,1.2910599999999999,1.2928899999999999,1.29075,1.29248,4275,0,0
19,1349186400,1.2925,1.2947899999999999,1.29185,1.29348,4887,0,0
20,1349193600,1.29348,1.29669,1.2922,1.29491,5416,0,0
21,1349200800,1.2949,1.29519,1.29268,1.29287,3781,0,0
22,1349208000,1.2928899999999999,1.29312,1.29131,1.29178,2798,0,0
23,1349215200,1.29177,1.2922799999999999,1.29136,1.29163,1669,0,0
24,1349222400,1.2916,1.29183,1.29048,1.2911000000000001,1331,0,0
25,1349229600,1.29108,1.29142,1.29003,1.29098,1770,0,0
26,1349236800,1.29099,1.29139,1.2893,1.2902,1944,0,0
27,1349244000,1.29024,1.29039,1.28926,1.28977,2326,0,0
28,1349251200,1.28976,1.29123,1.28769,1.29119,4687,0,0
29,1349258400,1.29121,1.29362,1.29105,1.29258,4443,0,0
30,1349265600,1.2926,1.2929599999999999,1.2898100000000001,1.29031,4022,0,0
31,1349272800,1.29032,1.2916,1.28873,1.2898,5908,0,0
32,1349280000,1.28982,1.2923499999999999,1.28884,1.29078,5602,0,0
33,1349287200,1.2907899999999999,1.29112,1.28986,1.29027,3058,0,0
