,time,open,high,low,close,tick_volume,spread,real_volume
0,1475251200,1.11754,1.12499,1.11688,1.12266,10662,0,0
1,1475265600,1.12266,1.12436,1.12245,1.12402,4822,0,0
2,1475452800,1.12275,1.1243400000000001,1.12256,1.12299,4472,0,0
3,1475467200,1.123,1.12403,1.12258,1.12333,2743,0,0
4,1475481600,1.12334,1.12398,1.12201,1.12327,5441,0,0
5,1475496000,1.12328,1.12409,1.12255,1.12319,4867,0,0
6,1475510400,1.1232,1.12339,1.12045,1.12168,5752,0,0
7,1475524800,1.12168,1.12191,1.12088,1.12103,2301,0,0
8,1475539200,1.12101,1.1215600000000001,1.12043,1.12054,3091,0,0
9,1475553600,1.12055,1.1209500000000001,1.11954,1.11971,2878,0,0
10,1475568000,1.1197,1.11984,1.11644,1.1171,5057,0,0
11,1475582400,1.1171,1.11743,1.11496,1.11647,5847,0,0
12,1475596800,1.11648,1.12381,1.11372,1.11928,13570,0,0
13,1475611200,1.11929,1.12103,1.11878,1.12038,5439,0,0
14,1475625600,1.12038,1.12134,1.11995,1.1209500000000001,2931,0,0
15,1475640000,1.12097,1.12277,1.1207799999999999,1.12167,3174,0,0
16,1475654400,1.12168,1.12277,1.12089,1.12277,6293,0,0
17,1475668800,1.12275,1.12326,1.12022,1.12091,6743,0,0
18,1475683200,1.1209,1.12179,1.11889,1.12051,7196,0,0
19,1475697600,1.1205,1.12194,1.12013,1.12031,3300,0,0
20,1475712000,1.12037,1.12117,1.12013,1.12016,2477,0,0
21,1475726400,1.12016,1.1206,1.11966,1.11968,2758,0,0
22,1475740800,1.11968,1.12085,1.11836,1.11898,5515,0,0
23,1475755200,1.11897,1.11911,1.11753,1.11789,6255,0,0
24,1475769600,1.1179000000000001,1.11855,1.11461,1.11603,7936,0,0
25,1475784000,1.11603,1.11632,1.11391,1.11462,3769,0,0
26,1475798400,1.11476,1.11516,1.11243,1.1131,6082,0,0
27,1475812800,1.11309,1.11349,1.1109499999999999,1.11165,5319,0,0
28,1475827200,1.11165,1.11313,1.11036,1.11281,6703,0,0
29,1475841600,1.1128,1.11785,1.1116,1.11705,11740,0,0
30,1475856000,1.11704,1.12041,1.11461,1.11667,12913,0,0
31,1475870400,1.11666,1.12012,1.1163,1.1201,4814,0,0
32,1476057600,1.11786,1.12026,1.11786,1.11988,4887,0,0
33,1476072000,1.11987,1.11993,1.11852,1.11905,2687,0,0
34,1476086400,1.11905,1.11916,1.1167799999999999,1.11803,5326,0,0
35,1476100800,1.11803,1.11803,1.1149499999999999,1.1151200000000001,4679,0,0
36,1476115200,1.1151200000000001,1.11637,1.11412,1.11429,5145,0,0
37,1476129600,1.11427,1.11432,1.11306,1.11368,2946,0,0
38,1476144000,1.11368,1.11416,1.11295,1.11309,2505,0,0
39,1476158400,1.11308,1.11366,1.11189,1.11331,3819,0,0
40,1476172800,1.11331,1.11342,1.11053,1.11107,5857,0,0
41,1476187200,1.11108,1.11157,1.10708,1.10879,6436,0,0
42,1476201600,1.10878,1.10979,1.10534,1.1068500000000001,8080,0,0
43,1476216000,1.10684,1.10687,1.10481,1.1053,5431,0,0
44,1476230400,1.10529,1.10669,1.10406,1.10435,3539,0,0
45,1476244800,1.10435,1.10562,1.10435,1.10476,3462,0,0
46,1476259200,1.10475,1.10603,1.10159,1.10237,7480,0,0
47,1476273600,1.10238,1.10284,1.1009,1.1020699999999999,6370,0,0
48,1476288000,1.10208,1.10443,1.10037,1.10294,8340,0,0
49,1476302400,1.10292,1.10466,1.10049,1.10064,7410,0,0
50,1476316800,1.10063,1.10173,1.10022,1.1002399999999999,3065,0,0
51,1476331200,1.10023,1.10369,1.10007,1.10138,5464,0,0
52,1476345600,1.10137,1.1024,1.09848,1.09948,7201,0,0
53,1476360000,1.09947,1.10395,1.09927,1.10303,7747,0,0
54,1476374400,1.10302,1.10461,1.10198,1.10398,7955,0,0
55,1476388800,1.10398,1.10568,1.10394,1.10548,4160,0,0
56,1476403200,1.10544,1.10576,1.10404,1.10455,2884,0,0
57,1476417600,1.10456,1.10557,1.10233,1.10274,3712,0,0
58,1476432000,1.10275,1.10282,1.10035,1.1022,5179,0,0
59,1476446400,1.1022,1.10224,1.09947,1.10093,6989,0,0
60,1476460800,1.10091,1.1026799999999999,1.09812,1.09944,8126,0,0
61,1476475200,1.09942,1.10134,1.09699,1.09702,5751,0,0
62,1476662400,1.09681,1.09723,1.09631,1.09661,2415,0,0
63,1476676800,1.09667,1.09852,1.09663,1.0985,2910,0,0
64,1476691200,1.09848,1.09935,1.09711,1.09882,5806,0,0
65,1476705600,1.09877,1.1004,1.09843,1.10038,5591,0,0
66,1476720000,1.10037,1.10071,1.09886,1.1,5162,0,0
67,1476734400,1.09999,1.10062,1.09943,1.09983,3310,0,0
68,1476748800,1.09983,1.10183,1.0995,1.10154,3236,0,0
69,1476763200,1.10153,1.10256,1.10143,1.10153,2530,0,0
70,1476777600,1.10153,1.10235,1.10038,1.10165,4817,0,0
71,1476792000,1.10165,1.10208,1.09804,1.09804,6610,0,0
72,1476806400,1.09804,1.09968,1.09693,1.09896,6268,0,0
73,1476820800,1.09896,1.09952,1.09762,1.09796,2952,0,0
74,1476835200,1.09796,1.0991,1.09727,1.09907,2193,0,0
75,1476849600,1.09907,1.09989,1.09791,1.09794,3300,0,0
76,1476864000,1.09793,1.10037,1.09731,1.09968,5377,0,0
77,1476878400,1.09968,1.10023,1.09604,1.09671,5608,0,0
78,1476892800,1.0967,1.09737,1.09542,1.09669,7201,0,0
79,1476907200,1.09668,1.0973600000000001,1.0959699999999999,1.09727,3250,0,0
80,1476921600,1.09726,1.09796,1.09655,1.09685,2363,0,0
81,1476936000,1.09686,1.09789,1.09608,1.09619,2829,0,0
82,1476950400,1.09618,1.09783,1.09514,1.09716,5260,0,0
