,tweet
131,sabhin lipad kinang nyubnigyan sha opportunity walley happy tomorrow new beginning
132,iyayy best candidate win
133,unite supporters mabuhay success buyag
134,bastat tayoy magkasama laging umagang ganda nagstart ended viewers naalala nun proclaim duterte president feels nakakatindig balahibo nkakaiyak higit nkaka proud pilipino
135,watched proclamation
136,yessss congratulations
137,toni nanalo
138,kulilat ulol nagmamalaki nanalo malakas
139,nanalo malakas
140,lokohin pinklawan quezon malakas
141,quezon lukohin nanalo malakas
142,nanalo malakas gawin kulto tangapin career sinusuportahan
143,bbm declined cnn bias networks ngawa decline invitation heart heart kakampwet
144,prefer bbmsara mainstream media remains overwhelmingly antimarcos mainstream media longer represent filipino people
145,magmumuka kaming mayabang
146,pasenxa pangulo
147,malakas natalo pretty dinaya
148,fatherlike son ferdinands
149,malakas leni bangag lutang kulilat nanalo
150,unsee len
151,scurrying forth publications websites searching plans platforms candidates genuine question find primary sources bbms plans leni compiled website
152,mandaluyong malakas
153,bbm president
154,bbm solid
155,nakakahawa energy nanood online ramdam tagos
156,false asia pulse asia
157,mabawi bbm government owned companies meralco pldt phil steel bonifacio global benta private sectors file gov case hli confiscate land give rightful owners
158,count malakas leni isko place
159,coming uknown hard starlet malakas
160,reasons love
161,gawin paninira kasinungalingan panlilinlang maniniwala ulolan next
162,tiktok comment supporter anymore
163,social media account owner allegedly warned assassination plot candidate ferdinand bongbong agreed undergo polygraph test prove innocence
164,dh kilala
165,supporter asked refer son late dictator google
166,novaliches bishop emeritus founder servant leader endorsement late dictators son malingmali endorsement mike pananaw malingmali
167,bongbong join debate
168,happy hearts bbm qc bbmsara
169,drop tags bony
170,bongbong skip cnn philippines debate
171,gawin lugaw malakas
172,difficult moments nagpapakita nagpapatawag pressmedia difficult moments nagpapakita
173,caravan bbm masaya masanay lenie
174,magaling lr tulugan hours kya election gising hours magic
175,malakas ina baliw
176,shaddai endorse
177,bbm indulge negative campaigning
178,bbm proclamation qc
179,air time bbm maipaliwanag publiko plataporma gobierno
180,head good luck
181,usap usap isabutahe ahhhpinapakita weak silang
182,agree linaw paliwanag knila lagi lamg sasabihin magnanakaw chuchukung eengage kyo lagyan paulit reply magsi tigil babastos
183,nood bukas debate
184,apektado iyak paglulupasay don ina ubod banal pagawan rebulto
185,bother inoffens fenks pagod pagod digital manager pagpapakalat hate explain khit iyak lupasay solid
186,oist pinipilit iboto ina pagkabanal banal bahid dungis susko khit kausapin never macoconvert kulay
187,rose pula red green tumbling valentines red pink
188,nakaluhod dinadasal ikakasama gsto boto ina nuknukan banal inaaya iboto ina bahid kasalanan napakalinis
189,dodong pastor quiboloy inis talo dodong maneh
190,time nauna sakin iboto pagbago put trust
191,tiktok nakagawa tuloy background music
192,syempre nagfeeling reporter amoranto stadium
193,debate ahhindi interview debate interview iiba hinihintay
194,happy valentines
195,true bbm bastusin leni babae take note leni robredo perfect
196,great job prove unity intelligence success
197,bbm biktima fake news propaganda mulat mata paninira mainstream media
198,goodjob bbm tyaka ibigay leni minority debate nayan survey
199,napanood sumisigaw magnanakaw bbm mukha clang edukado asal demonyo pinklawan nagmana cla nanay lutang madumb
200,hayaang madaya tulugan
201,masilip ishade nanay blackmail labanan
202,desperate desperate team
203,pabor bbm sasabihin bias pulse asia pabor leni reliable source data based huuyyyy mahiya
204,omg lord pandaraya pinklawan election
205,kakampinks babastos manners whatever masaya toni desisyon supply tinagal industriya mayaman mama
206,bongbong ofw solidsamasama babangon
207,nandito gulo vid stop huli naglabasan
208,idoln toni matalino tlaga
209,mambubudol tapat
210,bobo lbm tiktok lakas mainam aattend interview alamano pota tanga
211,palagay uurong watan debate quiboloy tiyak masusunog leody
212,good moaaaning everyone except bongbong probably spent valentines stressed anxious knows leody finish pedosponsored debate
213,nahiya nasusuportahan ganitong tatakbo kawawa pilipinas lider makapunta ganitong events ibigay ilahad plataporma
214,credible debates attendan
215,nanay bbm guilty counts graft
216,lives history haunts family escape deny anything makes remember guts place palace unrightfully wishful thinking
217,epal imee nagkakaproblema time management
218,funny bbm supporters calling leni duwag skipped debate owned quiloboy wanted fbi sextrafficking reliable compared cnn debate dinecline amo totoo
219,fyi nakalinya event panay island sasayangin oras okada magreynareynahan diyan napupunta bulaang
220,funny alamano pakibalikan debate record idol
221,time leody watans bardagulan todays videow
222,tangenaaa kinukumpara ms jessica quiboloy taena mahiya biased jessica syang eneendorso iinterview wanted jessica rapist
223,bwhqhahhaha cla umattend ahhh
224,isyu bwaaahahahahaha
225,sinetech itey busy nagluluto nahiya aspirant mahina signal dumalo
226,sinetech itey box pesos binibigay rally
227,sinetech itey zoomicron dq case
228,tandem kinatapang ama kabaliktaran duwag
229,oi guilty
230,lowkey threw junior trashbin commented know handle confirms camp panicking minute
231,hirap kalagayan umattend daming mapapaisip supporters iboto umattend daming magdedecide iboto
232,pbb kween absences paghohost
233,hours gising tamad umaasa nakaw yaman
234,tatay magnanakaw nanay guilty sandiganbayan anak tax evader fake credentials da
235,talagang matapang apo tigre norte attend cnn debates puta simple bias tigre quiboloy lul tigre norte onting respeto tigre
236,try harder bobongmarcos supporters
237,hwag bigyan puwang leniduwag
238,don feeling safe bobongmarcos
239,replies matitino usapan super gulat daming interactions bestiecakes anyways
240,usual frennie kakalampag professional reporters hosts palaging absent
241,alamano finest
242,better matawag duwag umattend interview hosted pedophile sex offender wanted fbi
243,lbm take notes call bias
244,president leni tinawag duwag decline debate wanted quiboloy supporter bbm tawag kina ping manny isko gago kayong lbm trolls
245,pauwi fog sound trip leni nakaka inspire nagnilay nilay blengbong
246,love trend tiktok credits tiktok fbi arrest mf son god
247,understand people call godly christians support thieves liars time justice compassion god naulol kaloka
248,assuming apologist sinisisi clearly asking cause fire ganiyan response apologist kawawa masyadong pabulag sinusuportahan
249,pagooverthink simpleng bagay jusq natatakot manalo substance hayop irl president ph ayusayusin desi life mare trippings
250,iniiwasan mabuko dahilan
251,nagwoworry manalo bobong narcos jusq taon graduate ill start working hell sahod tax automatically ibabawas pakikinabangan
252,tataba utak
253,gigil leni supporters ohh hahahahahahhs
254,tawang tawa aq auq aga agaaaa
255,nabudol uulit
256,nimention butt hurt
257,kawatan budolbudol akyatbahay shoplifter vocal candidate nman support bbm
258,napakita mukha nambubully gangster dating namang ingat trolls payroll goons
259,tangina boboto kaybbm matatanda edad malapit nanga kayong mamamatay iiwan sakit ulo saamin desisyonavility
260,laki nakaw laki nakaw sandok
261,lam supporters masaya pesos bayarang bobo
262,marcoses return power philippines laughing stock
263,unithieves quibulok
264,bbm merch new design available redbubble teepublic mura teepublic sale kababayan abroad hinahanap
265,iyak cancel bully curse threaten insult call fake news country hopeless announce theyre leaving
266,shunga talagaang level sea levell measly affect lives uca cancel businesses support majority pesky houseflies
267,patuloy nangunguna uniteam
268,pinoy ofw worldwide bbm merch madami design redbubble teepublic store latest design
269,never forget
270,philippines great bbmarcos president
271,pagaling papzsana handshake maghilom sugat nyokasama lagi dasal
272,put bbm popemobile vehicle safe bbm supporters agree understand safety important take risks know desperate people
273,uumpisa campaign bbmsara umikot
274,weee nagpapatawa
275,pagod pagod president vpres laki inikot north south ginabi kinaya makipag kamay inday paaaa batangbata
276,resident project qc
277,kabataan pogi nakasakay hanap
278,team bahay nakalive padn
279,respect opinion convicted sinungaling iboboto
280,pinkininam must talagang mapapasaltik fem
281,inday horse signmaganda forecastlucky sign rooster bbm rooster
282,leody iboto bbm pakawala npa hhahaha
283,gamitin double standardsmisogyny fanaticism cards pwedeng preferred pinoy nanay leni
284,wrong corykong hirap pinas
285,pinaka malaking pangyayari history pinas
286,put two sentences together
287,fake news boy official senatorial slate
288,majority around bbm undeniable reds everywhere cheers mabuhay
289,nandaya daming ebidensya pinagtakpan noynoygising natutulog pasa loob nagawa dilawan ibabalik ulitmaawa bayanniloloko bulag ri
290,everyone wants claritafied huh true
291,congratulations future president proud praying clean election celebrate streets turn red supporters wearing red
292,reverse real human bbm
293,town laoag supposed hour drive regular car speed took hours
294,bbmsara supporters follow ill follow youmabuhay
295,never martial law bhe ekissss talagaaa
296,corrupt counts peke credentials insisted degree srsly tax evader become next pres convince people tax time
297,twist chile affect themba
298,retire president mukhang nanganak siyam beses
299,explain linyahan buking nagsisinungaling
300,totoo magnakaw pumatay ibenta pinas tsina sunod lupang kinatatayuan mu ibenta digong
301,napaplastikan ke leni napa plastikan magnanakaw mamatay sinungaling nagpapangap matino history revisionism fake news bobong narcos dutae
302,nandidiri masyadong mababa pain threshold
303,maidagdag tumigil pulitika saysay sinasabing unity galing ilong
304,ina kanang kamay sinubukang hawakan sinungaling
305,marcoses know love return pagkakaisa mangyari pagkakaisa maupo kapangyarihan gamitin pansariling intensyon
306,iretweet iretweet bbm maling kamay sugat left quotangquota kasinungalingan samin hyup
307,covid excuse hearing boom covid positive result next sugat excuse rejecting handshakes boom sugat next convenient sakit nauuna diagnosis sakit
308,sugat bbm unity
309,pres duterte described weakampspoiled truehe speaks english earn masters degree lee kuan yews son running singapore camb
310,bobo bbm supporters maintindihan bobo badtrip gano kabobo mabasa
311,cede square inch philippines country bongbong inhale end speech vulnerable heartfelt firm maintream media
312,galing kungdi usaid credit grabbing fact chect false galing
313,suot malamig mainit tinatago takot mahawakan
314,watching kbp debate realized duwag bbm utalutal ubos minutes
315,sumusuporta magnanakaw magnanakaw grupo pinatay pumatay guilty
316,diring tuwang tuwa hahanap pambili bigas sasabihin hihirap makain
317,nakakahiya pinas pres convicted law breaker nanay convicted plunderer laya tatay pinatalsik pinoy korapsyon isip isip hangal
318,alcohol mahawakan kunwari kakamayan halata nandidiri
319,taenang bbm supporters kabobohan harapharapang ginagago nagpapauto shuutaena sarap ipasok bunganga imee
320,traffic fairview asong gumagala
321,nanalo kalokohan gobyerno kawawa kayong hampaslupa
322,weak leader kampanya nagpapakita
323,diring caloocan
324,bbm kania nalng
325,nia sinu kakapink choz
326,nonpartisan punintended
327,diring mainit ulo bbm paka elitista
328,crucial turnout elections nitpicking
329,true real definition diktadordictator saltik utak
330,bbm family vinny simon liza sandro
331,vincent ferrer pray
