"","tweet"
"125","kayang tanggapin mapait katotohanan talo bbm sara sakalam"
"126","ganda loss absenc"
"127","happi bbmsara"
"128","road uniti uniteam"
"129","bbm mission complet bbm support network groupown manag master child baiter quiboloy unit presidenti candid attend presidenti debat"
"130","least effort bus load kakampink laguna pinanggalingan"
"131","hoyi bbm sara consist support caravan interview survey"
"132","tama tlaga tpthis debateung previous talk interviewspleas"
"133","kakampink lipat kyo bbm sinabihan kyo love basto di pari ina makipag selfi pinalaya"
"134","alway top survey bbmsara"
"135","baliw talagapink taliban pr team balot ulo nanay nilagyan bigot twin sister osama bin laden"
"136","id choos hate support bbm regret support wrong leader"
"137","go fake news go broke"
"138","nagtataka baliktad mundo todo advis bbm support act straight dedma watch proclam ralli take note ha"
"139","totoo madam magagawa iboto kurakot tska kasabwat mandaya boto omj kakahiya nice toni"
"140","omg inggit kakampink oh manang mana ina hahahahhaa"
"141","sabhin nyu lipad kinang kandidato nyubnigyan sha opportun walley happi tomorrow new begin"
"142","iyayi best candid win"
"143","unit support mabuhay success buyag"
"144","bastat tayoy magkasama lage umagang ganda nagstart end viewer naalala nun proclaim dutert presid feel nakakatindig balahibo nkakaiyak higit nkaka proud pilipino"
"145","oh watch proclam thank"
"146","yessss congratul"
"147","toni nanalo"
"148","sorri"
"149","malaka"
"150","malaka"
"151","kulilat ulol nagmamalaki hahahahha nanalo malaka"
"152","hahahhahaha nanalo malaka"
"153","lokohin pinklawan hahahhaha quezon malaka"
"154","quezon lukohin nanalo malaka"
"155","nanalo malaka gawin kulto tangapin career sinusuportahan"
"156","go"
"157","nakakalunkot"
"158","bbm declin cnn bias network ngawa declin invit heart heart kakampwet"
"159","filipino prefer bbmsara mainstream media remain overwhelm antimarco mainstream media longer repres filipino peopl"
"160","magmumuka kame mayabang"
"161","pasenxa pangulo"
"162","malaka natalo pretti dinaya"
"163","fatherlik son ferdinand"
"164","malaka leni bangag lutang kulilat nanalo"
"165","malaka"
"166","unse len ahahahaha"
"167","ive scurri forth public websit search plan platform presidenti candid genuin question find primari sourc bbms plan leni compil websit"
"168","mandaluyong malaka"
"169","insan"
"170","bbm presid"
"171","bbm solid"
"172","nakakahawa energi nanood onlin ramdam tago"
"173","oh fals asia puls asia"
"174","syempr"
"175","mabawi bbm govern own compani meralco pldt phil steel bonifacio global benta privat sector file ulit gov case hli confisc land give right owner"
"176","count malaka leni isko nd place hahahhaha"
"177","malaka"
"178","come uknown tri hard starlet malaka"
"179","malaka"
"180","mygaddd"
"181","nanalo malaka"
"182","hahahhahahaha hahahahha malaka"
"183","malaka"
"184","reason love"
"185","gawin paninira kasinungalingan panlilinlang tao maniniwala ulolan hahahha next president"
"186","tiktok comment support anymor"
"187","malaka"
"188","social media account owner alleg warn assassin plot presidenti candid ferdinand bongbong jr agre undergo polygraph test prove innoc"
"189","dh di kilala"
"190","social media account owner alleg warn assassin plot presidenti candid ferdinand bongbong jr agre undergo polygraph test prove innoc"
"191","support ask refer son late dictat googl"
"192","novalich bishop emeritus founder servant leader endors late dictat son malingmali endors bro mike pananaw malingmali"
"193","bongbong join presidenti debat"
"194","happi heart bbm qc bbmsara"
"195","drop tag boni"
"196","bongbong skip cnn philippin presidenti debat"
"197","gawin lugaw malaka"
"198","mandaluyong malaka"
"199","difficult moment nagpapakita nagpapatawag pressmedia difficult moment nagpapakita"
"200","caravan bbm masaya masanay leni"
"201","magal lr tulugan hour kya elect gise hour magic"
"202","goosebump"
"203","malaka ina baliw"
"204","el shaddai endors"
"205","bbm indulg negat campaign"
"206","bbm proclam qc"
"207","air time bbm maipaliwanag publiko plataporma de gobierno"
"208","head good luck"
"209","bibitt"
"210","usap usap isabutah ahhhpinapakita weak silang"
"211","agre linaw paliwanag knila lagi lamg sasabihin magnanakaw chuchukung eengag kyo lagyan paulit ulit repli magsi tigil babasto"
"212","nood buka presidenti debat"
"213","win"
"214","di apektado iyak paglulupasay don ina ubod banal pagawan rebulto"
"215","bother inoffen fenk pagod pagod digit manag pagpapakalat hate explain bsta khit iyak lupasay solid"
"216","oist nmin pinipilit iboto ina pagkaban banal bahid dungi susko khit kausapin never macoconvert kulay"
"217","rose pula red green tumbl un valentin red pink"
"218","nakaluhod dinadas ikakasama gsto boto ina nuknukan banal go di inaaya iboto ina bahid kasalanan napakalini"
"219","ah dodong pastor quiboloy ini talo dodong maneh"
"220","time nauna sakin iboto pagbago put trust"
"221","tiktok nakagawa tuloy background music go"
"222","syempr nagfeel report amoranto stadium"
"223","debat ahhindi interview debat interview iiba hinihintay"
"224","happi valentin"
"225","true bbm bastusin leni baba take note leni robredo perfect"
"226","great job prove uniti intellig success"
"227","president"
"228","bbm biktima fake news propaganda mulat mata tao paninira mainstream media"
"229","goodjob bbm tyaka ibigay leni minor debat nayan ulit survey"
"230","napanood sumisigaw magnanakaw bbm mukha clang edukado asal demonyo pinklawan nagmana cla nanay lutang madumb"
"231","hayaang madaya tulugan"
"232","masilip ishad nanay blackmail labanan"
"233","desper move desper team"
"234","pabor bbm sasabihin bias puls asia pabor leni reliabl sourc data base huuyyyi mahiya"
"235","choos"
"236","omg thank lord pandaraya pinklawan elect"
"237","kakampink babasto manner whatev masaya toni desisyon suppli tinag industriya mayaman mama"
"238","bongbong president ofw solidsamasama babangon"
"239","nandito kaso gulo dun nd vid stop huli naglabasan tao"
"240","forget"
"241","idoln toni matalino tlaga"
"242","mambubudol tapat"
"243","bobo lbm tiktok laka mainam aattend interview alamano pota tanga"
"244","palagay uurong watan debat quiboloy tiyak masusunog leodi"
"245","good moaaan everyon except bongbong probabl spent valentin stress anxious know leodi finish pedosponsor debat"
"246","nahiya nasusuportahan ganitong tatakbo kawawa pilipina lider makapunta ganitong event ibigay ilahad plataporma"
"247","credibl debat attendan"
"248","nanay bbm guilti count graft"
"249","live histori haunt famili escap deni anyth make rememb gut place palac unright wish think"
"250","epal ime nagkakaproblema time manag"
"251","funni bbm support call vp leni duwag skip presidenti debat own quiloboy want fbi sextraffick reliabl compar cnn presidenti debat dineclin amo un totoo"
"252","fyi nakalinya event panay island sasayangin ora okada magreynareynahan diyan napupunta bulaang"
"253","funni bet alamano pakibalikan debat record idol"
"254","time leodi watan bardagulan today videow"
"255","tangenaaa kinukumpara ms jessica soho quiboloy taena mahiya bias jessica syang eneendorso iinterview di want jessica di rapist haaha"
"256","bwhqhahhaha lolo cla nd umattend ahhh"
"257","isyu bwaaahahahahaha"
"258","sinetech itey busi nagluluto nahiya aspir mahina signal dumalo"
"259","sinetech itey box peso binibigay ralli"
"260","sinetech itey zoomicron dq case"
"261","paba dalawang tandem kinatapang ama kabaliktaran duwag"
"262","oi guilti"
"263","lowkey threw junior trashbin comment know handl confirm ur camp panick minut"
"264","hirap kalagayan di umattend dame mapapaisip support iboto umattend dame magdedecid iboto"
"265","buti pbb kween absenc paghohost"
"266","hour gise tamad umaasa nakaw yaman"
"267","tatay magnanakaw nanay guilti sandiganbayan anak tax evad fake credenti da"
"268","talagang matapang apo tigr nort attend cnn debat puta simpl bias tigr quiboloy lul tigr nort ont respeto tigr"
"269","tri harder bobongmarco support"
"270","tama"
"271","hwag bigyan puwang leniduwag"
"272","huhu don feel safe bobongmarco"
"273","kandidato duwag"
"274","true"
"275","repli matitino usapan super gulat dame interact bestiecak anyway"
"276","usual frenni kakalampag profession report host palag absent"
"277","alamano finest"
