,time,open,high,low,close,volume,spread,real_volume,SMA40,RMA2,RMA6,TSI,TSISignal,PSARUP,PSARDOWN,CORALUP,CORALDOWN,buy,buy_price,sell_price
0,2012-01-02,1.29443,1.29681,1.29168,1.29338,37178,0,0,,0.64669,0.21556333333333333,,,,,,0.02698816116547737,0.0,,1.29337
1,2012-01-03,1.29337,1.30762,1.2931599999999999,1.3050899999999999,47008,0,0,,0.9758899999999999,0.39715111111111107,,,,,0.08847539463156008,,0.0,,1.3050899999999999
2,2012-01-04,1.3050899999999999,1.30719,1.28974,1.29361,46097,0,0,,1.13475,0.5465609259259259,,,,1.29681,0.18141602346353153,,0.0,,1.29359
3,2012-01-05,1.29359,1.29434,1.27702,1.27904,57010,0,0,,1.2068949999999998,0.6686407716049383,,,,1.30762,0.29804073309754553,,0.0,,1.27907
4,2012-01-06,1.27907,1.28121,1.26972,1.27188,47311,0,0,,1.2393874999999999,0.7691806430041153,,,,1.30719,0.429405127375606,,0.0,,1.26923
5,2012-01-09,1.26923,1.27848,1.26661,1.27686,49624,0,0,,1.25812375,0.8537938691700961,,,,1.30587855,0.5669632530257482,,0.0,,1.27682
6,2012-01-10,1.27682,1.28174,1.27424,1.27708,48350,0,0,,1.267601875,0.9243415576417467,,,,1.3045041507500001,0.7033279963313637,,0.0,,1.27708
7,2012-01-11,1.27708,1.27893,1.26619,1.27075,51881,0,0,,1.2691759375,0.982076298034789,,,,1.30317785547375,0.8330585382092245,,0.0,,1.2708
8,2012-01-12,1.2708,1.28442,1.26994,1.28136,51165,0,0,,1.2752679687500001,1.031956915028991,,,,1.3018832805321687,0.951971691487678,,0.0,,1.28135
9,2012-01-13,1.28135,1.28778,1.26241,1.26754,62261,0,0,,1.271403984375,1.0712207625241592,,,,1.3006340157135428,1.057461944081226,,0.0,,1.26383
10,2012-01-16,1.26383,1.2687300000000001,1.26254,1.2650000000000001,44369,0,0,,1.2682019921875,1.103517302103466,,,,1.2992961751635688,1.148470284353722,,0.0,,1.26501
11,2012-01-17,1.26501,1.2808,1.26488,1.27401,51854,0,0,,1.27110599609375,1.1319327517528885,,,,1.2980051590328439,1.2250754652193012,,0.0,,1.27402
12,2012-01-18,1.27402,1.28673,1.27337,1.2852999999999999,58089,0,0,,1.278202998046875,1.1574939597940739,,,,1.2967593284666943,1.288101068290595,,0.0,,1.28529
13,2012-01-19,1.28529,1.2971300000000001,1.2839,1.29666,52831,0,0,,1.2874314990234375,1.180688299828395,,,1.26241,,1.3385072105453766,,0.0,,1.29664
14,2012-01-20,1.29664,1.29854,1.28873,1.29298,45248,0,0,,1.2902057495117187,1.1994035831903291,,,1.2644932,,1.3776429413506284,,0.0,,1.28808
15,2012-01-23,1.28808,1.30521,1.28807,1.3013,50700,0,0,,1.2957528747558593,1.2163863193252742,,,1.265684838,,1.4068989018915348,,0.0,,1.30131
16,2012-01-24,1.30131,1.30618,1.29534,1.3030300000000001,51659,0,0,,1.2993914373779298,1.230826932771062,,,1.2670682186700002,,1.4277653433052508,,0.0,,1.30302
17,2012-01-25,1.30302,1.31199,1.29307,1.30987,56553,0,0,,1.304630718688965,1.2440007773092183,,,1.26843713101655,,1.4415850359280036,,0.0,,1.3099
18,2012-01-26,1.3099,1.31832,1.30896,1.31045,51299,0,0,,1.3075403593444825,1.2550756477576819,,,1.2699614814309708,,1.4497958572815621,,0.0,,1.31044
19,2012-01-27,1.31044,1.3233,1.3077,1.32189,57790,0,0,,1.3147151796722412,1.2662113731314018,,,1.2716540295808867,,1.4533787903501239,,0.0,,1.32148
20,2012-01-30,1.32148,1.32206,1.3076699999999999,1.31403,48932,0,0,,1.3143725898361205,1.2741811442761684,,,1.2734616385455557,,,1.4531128155450457,0.0,,1.3140399999999999
