tweet
#BBMIsMyPresident2022 #BBMismypresident #BBMparasalahat  #SARAismyVP2022  #UniTeamMahalinNatin  #UniTeamBBMSARA
#UniTeamBBMSARA  #BBMIsMyPresident
QC for BBM 😍 pero may mga nainggit nilangaw daw😅  #UniTeamBBMSARA  #GoBBM #BBMismypresident  https://t.co/nwpR64MWFL
Look at our future President 😍  #BBMismypresident
Ver Proud of Apo #BBMismypresident kse di pa sya nakaupo napapasunod na nya ang mga Presidentiables. Imagine! This is what we call FOLLOW THE LEADER! 🤣 Baka nga naman tumaas rating nila pag mag absent din! Imagine lagi absent pero nagna Number 1 pa! Ginaya tuloy! 🤣😛✌🏻❤️👊🏻💚🇵🇭  https://t.co/XJk32kx6VS
We love you Mr. President @bongbongmarcos ❤✌🏽  #BBMismypresident  #BBMforPresident #BBM #UniTeamMahalinNatin  https://t.co/9ORGeDl1iO
"@MIGGY_0129 Di bale, nandyan PA naMan Yung IBang kandidato for president, it is their loss, not #BBMismypresident chance na Sana nilang ipakita Kung karapat dapat silang Iboto as president, baka Lang hindi Nila KayaNG harap in ang TotooNG karapat dapat na"
"Ang mga Kakampon, kakampwets hindi makaintindi ng kaibahan ng debate sa interview, sa forum..  Bugok talaga🤣🤣🤣🤣🤣  Cancel n natin lahat ng PINKS/YELLOWS  #BBMSARAH2022  #BBMismypresident  #Cancel/Block all negative pinks here.."
"@KimIndar @lenirobredo First time nya kse nagkaroon ng ganyang crowd, si #BBM sobrang daming caravan na, na wayyyyyyy... larger dyan sa pinagmamalaki nya🤣  #BBMismypresident"
@iamwhatiam30 ❤  #BBMismypresident
"@iamwhatiam30 Hindi po talaga marunong rumespeto ang mga bayaran.  Well, carry naman ni Sir #BBM so sorry nalang sila🤪  #BBMismypresident"
Some clips from Batas Militar. Watch the full documentary at  https://t.co/KeR0unRQgx #BBM2022 #BBMSARA2022 #BBMismypresident #NeverForget #NeverAgain  https://t.co/AEeK18Rc0m
"Congratulations sir @bongbongmarcos! We will make sure to even soar higher and claim victory this May. We will continue praying for you, and mayor Sara. Mabuhay po! The Filipino deserves you. 👏👏👏 #BBMSARA2022 #BBMismypresident"
Hindi na ba talaga pang babastos yung sisigawan mo yung isang tao ng magnanakaw ?  Basic Human rights daw yun public  speaking pero GMRC is waving.  #BBMSARA2022  #BBMismypresident
ang cute nilang tatlo❤💚  #BBMForPresident  #BBMismypresident  #BBM
#BBMismypresident  #BBMSARA2022  #NagmamaLenis
#IbobotoKoSiBBM #BBMSARA2022  #BBMismypresident
Kaylangan pa ba mgeleksyon ❤️✌🏻💚👊🏻 #BBMismypresident #saraalltheway #UNiTeamBBMSARA
Hahaha.. bat kau triggered. Bat kau galit kung naisama si James? Baka gusto nyo din sumama? Hahaha #kakampinks #BBMSARA2022 #BBMismypresident
@ricardocelebra1 ALWAYS BE THE FIRST SO WE’RE SO HAPPY ABOUT THAT MABUHAY.❤️💚#BBMIsMyPresident BBMSARA ✌️👊
AFTER THE LATE FEM PRRD IS THE ONLY PRESIDENT WHO DEEPLY CARE AND LOVED THE FILIPINOS AND THE NATION. AWESOME WE’LL NOT FORGET YOU  WE’LL ALWAYS REMEMBER YOU FOREVER. GOD BLESS YOU ALWAYS PRRD. 😂👍👏MABUHAY ❤️💚#BBMIsMyPresident BBMSARA ✌️👊
