,time,open,high,low,close,tick_volume,spread,real_volume
0,1375286400,1.32212,1.32987,1.3221,1.32905,10377,0,0
1,1375300800,1.32912,1.33446,1.3265,1.3296299999999999,12253,0,0
2,1375315200,1.33022,1.33108,1.3284,1.32861,4133,0,0
3,1375329600,1.32861,1.32883,1.32657,1.32724,3391,0,0
4,1375344000,1.32727,1.32761,1.3227,1.32366,7627,0,0
5,1375358400,1.32364,1.32671,1.31943,1.32513,14531,0,0
6,1375372800,1.32187,1.32447,1.32039,1.3220399999999999,9269,0,0
7,1375387200,1.3220399999999999,1.32232,1.31981,1.32096,4757,0,0
8,1375401600,1.32097,1.32149,1.31895,1.31954,4117,0,0
9,1375416000,1.31955,1.32233,1.31955,1.3211300000000001,4325,0,0
10,1375430400,1.3211300000000001,1.32266,1.32026,1.32119,6816,0,0
11,1375444800,1.32118,1.3284500000000001,1.31877,1.3259400000000001,13746,0,0
12,1375459200,1.3260100000000001,1.32937,1.32588,1.32876,9219,0,0
13,1375473600,1.32877,1.32885,1.32758,1.32798,3146,0,0
14,1375660800,1.32813,1.32843,1.32632,1.32763,3713,0,0
15,1375675200,1.32764,1.32827,1.32711,1.32825,3133,0,0
16,1375689600,1.32823,1.33003,1.32645,1.32819,8111,0,0
17,1375704000,1.32822,1.32827,1.3243,1.32522,7196,0,0
18,1375718400,1.32522,1.32657,1.32327,1.3259699999999999,7019,0,0
19,1375732800,1.32596,1.32661,1.3250899999999999,1.32611,3521,0,0
20,1375747200,1.32612,1.32712,1.32527,1.3265500000000001,3063,0,0
21,1375761600,1.32656,1.3268,1.3247900000000001,1.3253,3583,0,0
22,1375776000,1.3253,1.32883,1.3246,1.32877,6268,0,0
23,1375790400,1.32943,1.33061,1.32661,1.32947,7933,0,0
24,1375804800,1.32945,1.33229,1.32821,1.33108,8590,0,0
25,1375819200,1.33106,1.33114,1.33012,1.33073,3259,0,0
26,1375833600,1.3308,1.33156,1.32924,1.32943,3962,0,0
27,1375848000,1.32942,1.33071,1.32918,1.33063,3066,0,0
28,1375862400,1.33063,1.3311899999999999,1.3265500000000001,1.32863,8051,0,0
29,1375876800,1.32859,1.3324500000000001,1.32827,1.33056,9686,0,0
30,1375891200,1.33056,1.33422,1.33012,1.33409,8320,0,0
31,1375905600,1.33411,1.33452,1.3329,1.33365,4210,0,0
32,1375920000,1.33365,1.33435,1.3330600000000001,1.3332600000000001,3556,0,0
33,1375934400,1.33325,1.33524,1.33282,1.33461,4462,0,0
34,1375948800,1.33464,1.33691,1.33347,1.33613,7385,0,0
35,1375963200,1.3360699999999999,1.33755,1.3352,1.3369900000000001,5738,0,0
36,1375977600,1.3371,1.34002,1.337,1.33868,6658,0,0
37,1375992000,1.33867,1.33906,1.33772,1.33814,3520,0,0
38,1376006400,1.33809,1.33865,1.33756,1.33822,3017,0,0
39,1376020800,1.33822,1.3385,1.33775,1.3385,2468,0,0
