,time,open,high,low,close,tick_volume,spread,real_volume
0,1619798400,1.20835,1.20914,1.2034799999999999,1.20387,5362,6,0
1,1619805600,1.20392,1.20423,1.20236,1.20263,4354,6,0
2,1619812800,1.20263,1.20302,1.20179,1.20209,2422,6,0
3,1619820000,1.20212,1.20248,1.20161,1.20189,1647,6,0
4,1620000000,1.20304,1.20304,1.20231,1.20267,464,6,0
5,1620007200,1.2027,1.20335,1.20199,1.20334,1005,6,0
6,1620014400,1.20334,1.20352,1.20181,1.2019199999999999,1182,6,0
7,1620021600,1.2019199999999999,1.20236,1.20168,1.20207,885,6,0
8,1620028800,1.2021,1.20395,1.20128,1.20377,1858,6,0
9,1620036000,1.20378,1.20491,1.2031,1.20471,2826,6,0
10,1620043200,1.20473,1.20572,1.2046000000000001,1.20568,2316,6,0
11,1620050400,1.20568,1.20573,1.20416,1.20427,2948,6,0
12,1620057600,1.20427,1.20755,1.20422,1.20731,4445,6,0
13,1620064800,1.20731,1.20756,1.20509,1.20527,2275,6,0
14,1620072000,1.20525,1.20669,1.20511,1.20663,1706,6,0
15,1620079200,1.20663,1.20663,1.20601,1.20601,1160,6,0
16,1620086400,1.20601,1.20637,1.20583,1.2059,906,6,0
17,1620093600,1.20589,1.20597,1.20527,1.20553,772,6,0
18,1620100800,1.20559,1.20559,1.20419,1.20443,1341,6,0
19,1620108000,1.20443,1.20447,1.20367,1.20401,940,6,0
20,1620115200,1.20401,1.20404,1.20318,1.20327,1740,6,0
21,1620122400,1.20327,1.20353,1.20018,1.20028,4027,6,0
22,1620129600,1.20028,1.20147,1.19987,1.2011,2887,6,0
23,1620136800,1.2011,1.20298,1.20078,1.20254,3800,6,0
24,1620144000,1.20259,1.20327,1.20162,1.20322,5459,6,0
25,1620151200,1.20322,1.20353,1.2001,1.20172,5210,6,0
26,1620158400,1.20168,1.20231,1.20108,1.20108,2893,6,0
27,1620165600,1.20106,1.20201,1.2009,1.20114,1900,6,0
28,1620172800,1.20114,1.2015500000000001,1.20088,1.20154,607,6,0
29,1620180000,1.20154,1.20206,1.20128,1.20194,864,6,0
30,1620187200,1.20195,1.20225,1.20178,1.20204,1196,6,0
31,1620194400,1.20204,1.20261,1.20199,1.2022,842,6,0
32,1620201600,1.2022,1.2022,1.19929,1.19993,2199,6,0
33,1620208800,1.19987,1.20044,1.19858,1.19964,4078,6,0
34,1620216000,1.19963,1.20196,1.19928,1.20158,2989,6,0
