"","tweet"
"79","hahahahahahahahaha el what sad die hahahahahahahahaha endorsement is not a guarantee we have our own ideology and belief"
"80","hahahahaha ngaw ngaw naman ang kampon ng kadiliman hahahahaah paano pahiya pahiya jushkopo ngayon pilit pinaptrend ang"
"81","hahahaha sadyang tanga lang ang hindi makaintindi palibhasa may napahiya hahahaha butata kaya pilit na pilit ang hashtag na ang totoo"
"82","ngek"
"83","hello comelec eh di naman pala ok ang tax evasiion eh di paki cancel na mg coc ng sinungaling na bbm na yan dami nyong kuda go straight to the point"
"84","my parents are laughing at me right now and calling me tanga kasi hindi ako pumirma sa gaganaping rally ni bbm sa sunday dito sa mandaluyong and now they have free tshirt and 2k each at ako wala"
"85","everything about that man is untrue let us not be deceived again"
"86","spoiled brat is here and walang sinasantosanto abusado its in his blood ireport na yarn"
"87","hahaha si leni lang lutang so si blengblong genius"
"88","nasa impyerno na ba ako"
"89","there can never be unity if he only unifies politicians and allies unity of the people means unifying the different sectors of the community he gave a speech but not one that came from the heart all mouth no heart"
"90","2 this is precisely the ideology behind my candidacy the candidacy of mayor twogether we have come twogether on the basis of unity see what unity can do for our country dont be a tumultuous supporter subscribe na sa"
"91","day 1528 cauyan isabela"
"92","1 bbm i will be a unifying president also bbm signed alliance with other 3 big political parties in the phils ganyan dapat you walk the talk we should help and support each other theres strength in unity"
"93","dami talagang artista supportado sa"
"94","ngpa ppansin lng y n ppa awa epek kulelat ba nmn"
"95","owemjii why are you guys mad at me did i get mad when you guys tweet that bbm is duwag oh no hahahaha"
"96","hindi ko cya mama or nanay please lang yuck inyong inyo na nanay lenlen nyo"
"97","ako ang self proclaimed number 1 pusang basher ng mga pinklawans bakit meron pa ba ibang pusa na active ang political views sa twitter"
"98","sarap pakinggan ang awit na ito"
"99","push nyo pa na bright ang nanay nyo another delusion ng mga fanatics ng pinklawans formerly known as dilawans"
"100","eto yun hindi pinapakita na dami ng tao sa amorantoqc feeling nila ang dami na nila pumanta sa qc circle delusional tlaga mga anak ni lenlen"
"101","i will never vote any yellows aka pinks"
"102","para sa mga pinklawan mga cheap at hampaslupa ang supporters ni bbmsara kase sila lang ang mga mayayaman disente kagalanggalang at mahahalagang tao sa lipunan na kataastaasang mga nilalang delusions of grandeur defense mechanism ng brain nyo yan"
"103","ambait ng abias cbn dito ha walang nakakabit sa pangalan ni bbm na son of dictator"
"104","to all the bbm supporters out there can yall please enlighten me on why you support him i just want a proper debate not just the leni lugaw argument para makita nyo to again para lang makita nyo to"
"105","paninira ba yung pag sasabi ng totoo 900 cases and the trial of the century is held in the us but none of the 900 cases has been proven show us the final verdict of the supreme court stating that marcos family is convicted then ill change my vote"
"106","grabe naman wag nyo masyado gagalingan"
"107","being a leni supporter will not make you look intelligent honestly i see you like a terrorist attacking people attacking the government you can look down on me as a bbm supporter but that does not change who i am"
"108","wow just wow na ito qc para marcos at sara"
"109","besides i am still bbm ahahaah your english will not define your intelligence its your bad mouth"
"110","pakibasa dun s kaninang ngcomment about sa mga marcosesgaleng na po yan kay atty"
"111","take note more than 20000 supporters hindi yung haka haka lang na 300600k bwahwhwhwhwhwhw"
"112","tama nga naman si tp the debate tom will be the first tapos backout mode yung apat si bbm pa nga ang aattend"
"113","watch tps analysis re nonappearance of some aspirants on smni debate"
"114","my president pbbm"
"115","excited na ako sa smni debates tomorrow balita ko di nila alam yung mga questions yun yung maganda makaka alaman talaga now i know the reason kung bakit daming nawala hahaha qc for bbmsara"
"116","isabela ready na ba kayo"
