"","tweet"
"1","        "
"2","  "
"3","qc for bbm <U+0001F60D> pero may mga nainggit nilangaw daw<U+0001F605>      "
"4","look at our future president <U+0001F60D>  "
"5","ver proud of apo  kse di pa sya nakaupo napapasunod na nya ang mga presidentiables imagine this is what we call follow the leader <U+0001F923> baka nga naman tumaas rating nila pag mag absent din imagine lagi absent pero nagna number 1 pa ginaya tuloy <U+0001F923><U+0001F61B><U+270C><U+0001F3FB><U+2764><U+FE0F><U+0001F44A><U+0001F3FB><U+0001F49A><U+0001F1F5><U+0001F1ED> "
"6","we love you mr president  <U+2764><U+270C><U+0001F3FD>       "
"7"," di bale nandyan pa naman yung ibang kandidato for president it is their loss not  chance na sana nilang ipakita kung karapat dapat silang iboto as president baka lang hindi nila kayang harap in ang totoong karapat dapat na"
"8","ang mga kakampon kakampwets hindi makaintindi ng kaibahan ng debate sa interview sa forum  bugok talaga<U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923>  cancel n natin lahat ng pinksyellows      block all negative pinks here"
"9","  first time nya kse nagkaroon ng ganyang crowd si  sobrang daming caravan na na wayyyyyyy larger dyan sa pinagmamalaki nya<U+0001F923>  "
"10"," <U+2764>  "
"11"," hindi po talaga marunong rumespeto ang mga bayaran  well carry naman ni sir  so sorry nalang sila<U+0001F92A>  "
"12","some clips from batas militar watch the full documentary at "
"13","congratulations sir  we will make sure to even soar higher and claim victory this may we will continue praying for you and mayor sara mabuhay po the filipino deserves you <U+0001F44F><U+0001F44F><U+0001F44F>  "
"14","hindi na ba talaga pang babastos yung sisigawan mo yung isang tao ng magnanakaw   basic human rights daw yun public  speaking pero gmrc is waving    "
"15","ang cute nilang tatlo<U+2764><U+0001F49A>      "
"16","    "
"17","   "
"18","kaylangan pa ba mgeleksyon <U+2764><U+FE0F><U+270C><U+0001F3FB><U+0001F49A><U+0001F44A><U+0001F3FB>   "
"19","hahaha bat kau triggered bat kau galit kung naisama si james baka gusto nyo din sumama hahaha   "
"20"," always be the first so were so happy about that mabuhay<U+2764><U+FE0F><U+0001F49A> bbmsara <U+270C><U+FE0F><U+0001F44A>"
"21","after the late fem prrd is the only president who deeply care and loved the filipinos and the nation awesome well not forget you  well always remember you forever god bless you always prrd <U+0001F602><U+0001F44D><U+0001F44F>mabuhay <U+2764><U+FE0F><U+0001F49A> bbmsara <U+270C><U+FE0F><U+0001F44A>"
"22","aerial shot at the background ganon dapat ang attendance para maging winner         "
"23","more or less 7k attendees lang yung pink taliban parade of losers knina sa qc according sa pnp hahahahaha  plus bagsak na naman sa sunod sunod na survey  kaya  bwahahahaha     "
"24","kitang kita kung sino ang gusto ng tao   pulse asia   "
"25","ha ha ha mga penks hindi napigilan napa sigaw at tumatalon ng bbm haiiiii buhay nga naman oo god bless you all guys stay safe always mabuhay<U+2764><U+FE0F><U+0001F49A> bbmsara <U+270C><U+FE0F><U+0001F44A>"
"26","  this is how we can portray    lenis latest  survey number dropping 4 more vs her rivals shes making out as if her poll number isnt consistent w her dumb insistence that she can dislodge  mi"
"27","lumaki ako na ang alam sa edsa revolution ay pinatay ang bayani daw na si ninoy nahubog ako ng textbook sa galit at poot sa mga marcos bbm sampu ng aking pamilya sisiguruhin kong mananalo ka  "
"28","filipinos are so proud of you mr president and bbmsara will continue your build build build for the people and the nationmabuhay<U+2764><U+FE0F><U+0001F49A> bbmsara <U+270C><U+FE0F><U+0001F44A>"
"29","join us kauniteam   "
"30","magbundok man tayo bbm pa rin tayo mt kupapey mountain province feb 13 2022    "
"31","good day mga kauniteam we have twitter party tomorrow 10am   "
