"","tweet"
"1","lets do a survey and see whos gonna win for president       "
"2","para sa legit na boboto lang please do not vote if hindi ka botante or hindi din makakaboto who is your president         "
"3","   "
"4","kulay asul at puti ang simbolo ng tunay tapat at mapayapa na pamumuno <U+0001F499><U+0001F90D>  kay  kami    "
"5","hindi niyo na pwedeng laitin si bbm na hindi sumasali sa opposition debate kung yung mismong mga kandidato niyo nag no show sa kanilang opposition debate  magiging ipokrita kayo  ¯<U+30C4>¯     "
"6","mga pwedeng theme songs ni   never gonna give you up by rick astley  im never gonna give you up by cynthia rhodes and frank stallone  never give up by sia <U+0001F601><U+0001F601><U+0001F601>"
"7","lets make it simple if a candidate skips an interviewdebate=duwag based on this premise si ka leody pinakamatapang not counted yung di paginvite sa kanya sino po ang pinakaduwag pakisagot po     "
"8"," diretso sa nakaw na naman scam projects  ang lalim na ng pilipinas  ma tatalo na tayo sa kenya africa <U+0001F926><U+0001F3FB><U+0001F926><U+0001F3FB><U+0001F926><U+0001F3FB>  we need a leader "
"9","since araw ng mga puso ngayon tatanongin kita ano ang kulay ng puso mo         "
"10"," nalungkot ako para kay   pero sya pa rin sa <U+0001F9E1> ko"
"11","maraming salamat po mam sa pagsend nito sa amin tama po kayo hindi popularity contest ang pagpili ng iboboto pinagiisipan po ito ng maige   "
"12","duwag lang ang hindi dadalo sa smni debate bukas asan na yung mga word of honor nyo   "
"13","  ping lacson tito sotto turn down smni debates due to this "
"14","ayaw ni    platform based debate gusto nila martial law based discussion   <U+0001F923><U+0001F602><U+0001F923><U+0001F602>"
"15","i am not actually for  at  talaga ang president ko pero napakaliit ata ng chance nya pero kung pink at bbm ang labanan doon na ko sa aattend ng debate"
"16","   "
"17","         "
"18","   support restoration of  remove religion from the equation if you can legally get married you should legally get out of marriage plain amp simple act now    "
"19","    "
"20","  "
"21","    "
"22","   "
"23","  "
"24","solid supporter president ping lacson   "
"25","not bts related but yeah  is my president <U+0001F499> "
"26"," ang kinabukasan  ang tama ipaglaban ang mali labanan        "
"27","        <U+0001F497><U+0001F497><U+0001F497><U+0001F1F5><U+0001F1ED><U+0001F1F5><U+0001F1ED><U+0001F1F5><U+0001F1ED>"
"28","im tired of this redyellowpink fights nakakasawa na mga bangayan nyo no to marcos no to leni yes to ping lacson     "
"29","not a kpopsj related but please respect  hindi pa kami family nakaka decide kung sino ang dapat iboto sa may 8 ano po ba ang mga plataporma ng mga kandidado sa pagka pangulo   thank you     "
"30","what else could have been said <U+0001F4AF>sana marealize nating lahat mga kapwafilipino pilipinas      "
"31","mahihirapan kase silang pumorma pag nasa slate sila ni  pano ka mangungurakot kung yung president mo gusto iayos ang government"
"32","stop attacking people by their looks  stop canceling people by their choice  stop speaking ill to people by their beliefs        "
"33","kung gaganapin ang eleksyon ngayon sinong kandidato sa pagkapangulo ang iboboto mo       "
"34","   is the way to go <U+0001F64C><U+0001F3FB><U+0001F64C><U+0001F3FB><U+0001F64C><U+0001F3FB>"
"35","   "
"36","  "
"37","lacson is the continuity president we need ping will not only continue the policies and programs of president duterte he will even improve on them    "
"38","if they cant even show up to a presidential debate for you to hear what really their plans are for you what makes you think they will face you the moment you need answers mahirap ka lang ordinary citizen ka lang tax payer ka lang dont you get the message "
"39","lets push for  and for brave <U+0001F64C><U+0001F3FB><U+0001F64C><U+0001F3FB><U+0001F64C><U+0001F3FB>"
"40","i know where this sentiment is coming from may formal statement na and obvious ang bias  but as  said if bernie sanders walked in sa fox news why couldnt we  may viewers pa rin ang smni and panelists na credible para maboost ang  campaign"
"41","so dahil  ako i thought i should watch his socalled biopic ping lacson super cop 00  but what i seen is a mess puro astigan at bayuhan pero wala namang substance sa personalidad ni sen ping  22 years na so i think he deserves a new and better biopic"
"42"," maayo unta ug mahayagan imong utok sa holy spirit  "
"43","statistically speaking naa naman juy clear winner this coming election pero ang akong boto para sa imu labyu ping  "
"44"," dapat po natin iconsider sa pagboto ang dalawang aspeto na pangangailangan at kagustohan mas kailangan po ng ating bansa ang taong tapat marunong magpakumbaba at higit sa lahat hindi takot mawalan ng kaalyado o kaibigan kahit na madumihan"
"45","    "
"46","       "
"47","only a man of character integrity discipline compassion amp competence we call public servant can truly bring about genuine reform in this country  unfortunately only matured amp intelligent voters who we barely have would elect that public servant  "
"48","titibay tiwala ko sa gobyerno pag si sir   na ang presidente     "
"49","my president  saan po pwede mag volunteer for your campaign na sa inyo po puso ko since college days ko po dahil sa issue ng pork barrel sobrang taas po ng respeto ko po sa inyo and tiwala we deserve you po  "
"50","my president     lt3"
"51","   tandaan  cinco lacson nueve sotto sa mayo 9 2022 ang tambalang dapat at karapat dapat na mamuno sa ating bansa kailangan pa bang imemorize nyan"
"52","  ang tambalang may malinaw na plataporma para sa ikauunlad at ikaka ayos ng buhay ng bawat filipino aayusin ang gobyerno aayusin ang buhay ng mga pilipino "
"53","lacson highlighted the role of our youth in steering the course of our nations history as he addressed the people of tagum city earlier today   "
"54","  cinco 5 nueve 9 sa mayo 9 kailangan pa bang imemorize yan"
"55"," kay lacson you know youre in good hands may malinaw na platform based on available data at knows saan kukunan ng support unlike the other candidates na pulos motherhood statements lang ang nangopya lang sa kanya ng platform"
"56","lacsonsotto     "
"57","solid        "
"58","  it ashamed that i couldnt be able to attend pero full support po ako  sen        "
"59","napakagandang artwork ni sir   gandang larawan ni senator ping lacson   napakagaling niyo po sir hector  gawin ko po munang profile picture sobrang ganda po <U+0001F90D>          "
"60","times you might even pay for it even if the candidate of your choice wins voting just because a candidate has the biggest chance of winning is the lamest reason to vote for a candidate vote wisely  "
"61"," maging matalino ngayong election dun tayo sa tapat at may malasakit sa bayan <U+0001F1F5><U+0001F1ED><U+0001F1F5><U+0001F1ED>   "
"62"," mabuhay po kaupresident lacson and vice president tito para sa 2022 <U+0001F1F5><U+0001F1ED><U+0001F1F5><U+0001F1ED><U+0001F1F5><U+0001F1ED>    "
"63"," smart voters pls ris e updont waste for another 6 years vote ping lacson for president <U+0001F1F5><U+0001F1ED><U+0001F1F5><U+0001F1ED><U+0001F1F5><U+0001F1ED>    "
"64"," siempre lahat tayo ay kay lacson at sotto lang  <U+0001F1F5><U+0001F1ED>   "
"65","el presidente   fellow pinoys we do not want to hear the phrase he is the best president we never had for the next six years now is our chance lets make a difference    "
"66"," no  <U+0001F499>"
"67","sino ba sa tingin mo idol ang dapat mamayagpag sa may 9 halalan 2022 sino ba sa kanila ang karapatdapat na manalo         "
"68"," bagong tatlo sa senado    the only lbm i stan<U+0001F44F><U+0001F601> haveey tlga  kaya  ako<U+0001F338><U+0001F337><U+0001F4AE><U+0001F33A>"
"69","senator kiko is in the house  san manuelenians went all the way to dagupan city just to show our support to              "
"70","a man of faith and a warrior of god god bless you po and good luck  sotto2022 presidential election and the entire  team"
"71","   "
"72","  "
"73","for any military institution like the pma obtaining a lifetime achievement award is a rare and difficult award to achieve it all involves hardwork discipline and fealty to what the pma stands for courage integrity loyalty   "
"74","we need him its now or neverhuwag nating hayaang maging the best president na we never had ang isang ping lacson tama si yorme asset siya ng bayan  "
"75","nr 5 sa balota 592022  "
"76","lacsonsotto nakipag bonding sa mga taga baguio     "
"77","usapang tapat at walang bola ito ang hatid ng tambalang lacsonsotto kasama ang mga toda ng urdaneta     "
"78"," di na ta anang agion ra tag binugoy oi ari ta ni  kay klaro kaayo"
"79","wag nating sayangin ang ating boto piliin natin yung talagang makakapag bigay ng maayos na tulong para sa bansa at sa mamamayang pilipino kay ping lacson tayo  let us be the masters of our fate  ping lacson   "
"80","marites corpuz  dating marcos supporter lacson na ngayon     "
"81","    "
"82","   "
"83","ubusin na natin ang magnanakaw ayusin na natin ang gobyerno  ng umaayos ang buhay ng mga pilipino    "
"84","solusyon ni  vs pagtaas ng mga presyo ng bilihin mararamdaman ng mahihirap    "
"85","tumanggap ng lifetime achievement award si  mula sa philippine military academy    "
"86","this nation needs a true servant leader who leads by example who walks the talk and who will set a singlestandard policy colorless that is   we dont need a leader who is full of hatred and colored that promotes divisiveness    <U+0001F1F5><U+0001F1ED><U+0001F44D>"
"87","pormal na inendorso ni magalong ang lacsonsotto tandem sa isang press conference na ginanap sa newtown plaza hotel    "
"88","magalong said filipino voters must realize the potential consequences of their decisions should they choose to maintain the status quo and miss the opportunity of picking more upright leaders like lacson and sotto    "
"89","nakatanggap si sen ping lacson ng lifetime achievenemt award mula sa pma sa baguio    "
"90","    "
