"","date","username","tweet","hashtags","link"
"762","3/24/2022","pamsantiago07","walang iwanan lalaban tayo hanggang dulo senator     ipaglalaban natin hanggang sa huli ang napakagandang hangarin mo para sa pilipinas <U+0001F4AF>  ikaw padin ang presidente ko <U+0001F499>  ","['pinglacson2022']","https://twitter.com/pamsantiago07/status/1506839521031180295"
"763","3/23/2022","alhmaracer","we are not left with two choices only who is the most qualified experienced    ","['switchtoping', 'pinglacson2022']","https://twitter.com/AlhmarAcer/status/1506616060048392194"
"764","3/23/2022","karllll22","if u want to convince someone educate them hindi yung pipilitin at aawayin niyo just bcoz hindi nasunod yung gusto niyo give them time para mag isip isip   ","['kakampingtunay', 'pinglacson2022']","https://twitter.com/karllll22/status/1506612395866980355"
"765","3/23/2022","cshenry4","success is not final failure is not fatal it is the courage to continue that counts  winston churchill           ","['weneedaleader', 'sinongpanggiyeramo', 'pingdigmaan', 'switchtoping', 'pinglacson2022', 'teamlacsonsotto']","https://twitter.com/CSHenry4/status/1506551315467436034"
"766","3/23/2022","weneedaleaderph","lacsonsotto dont believe in fake news we are not withdrawing from the race     ","['weneedaleader', 'pinglacson2022', 'lacsonsotto2022']","https://twitter.com/WeNeedALeaderPH/status/1506550295807279107"
"767","3/23/2022","partidoreporma","mainit ang naging pagtanggap ni pascual at ng mga tagagapan sa tambalang lacsonsotto na layuning iangat ang estado ng mga lokal na pamahalaan sa buong bansa    ","['pinglacson2022', 'lacsonsotto2022']","https://twitter.com/PartidoReporma/status/1506550010145435651"
"768","3/23/2022","boldypayang","please please people be smart with your votes vote for who is the right one vote for who is qualified vote for ping <U+0001F499>    ","['pingismypresident', 'pinglacson17thpresident', 'pinglacson2022']","https://twitter.com/BoldyPayang/status/1506500789002403846"
"769","3/23/2022","dokbongantipolo"," maaasahan   ","['pinglacson2022', 'lacsonsotto2022', 'pinggaling']","https://twitter.com/dokbongantipolo/status/1506472730509529091"
"770","3/22/2022","weneedaleaderph","leadership by example is the best way to end corruption with lacson as the leader     ","['weneedaleader', 'pinglacson2022', 'lacsonsotto2022']","https://twitter.com/WeNeedALeaderPH/status/1506195504782209024"
"771","3/22/2022","partidoreporma","mga debate lalong nagpatibay sa pundasyon ng   supporters    ","['pinglacson2022', 'lacsonsotto2022']","https://twitter.com/PartidoReporma/status/1506195301589082116"
"772","3/22/2022","carlopedrero2"," sa lahat ng kandidato kay ping lacson talaga ang pinaka magandang track record ","['pinglacson2022']","https://twitter.com/CarloPedrero2/status/1506188228931448835"
"773","3/22/2022","boldypayang","makinig magsaliksik unawain si ping lacson ang piliin     ","['pinglacson2022', 'lacsonsotto2022']","https://twitter.com/BoldyPayang/status/1506115347887247361"
"774","3/22/2022","boldypayang","ping for president the only qualified presidential candidate that can lead our country    ","['pinggaling', 'pinglacson2022']","https://twitter.com/BoldyPayang/status/1506107589901180928"
"775","3/22/2022","cshenry4","lacsonsotto tandem may not be perfect but the rest are nuts          ","['weneedaleader', 'sinongpanggiyeramo', 'pingdigmaan', 'switchtoping', 'pinglacson2022', 'teamlacsonsotto']","https://twitter.com/CSHenry4/status/1506090806507020289"
"776","3/27/2022","miraavaliente","switch to ping ","['pinggaling']","https://twitter.com/miraavaliente/status/1508108666192674823"
"777","3/27/2022","jooooohans","ping lacson on kandidatalks gives you hint why you should chose him <U+0001F499>     ","['switchtoping', 'pinggaling', 'lacsonmostqualified']","https://twitter.com/Jooooohans/status/1507755735844724737"
"778","3/26/2022","dokbongantipolo","kapag puro photoshop and photoop ang kampanya hindi malayong ganun din ang pamamahala  we deserve better but first we need to be better     ","['choosebetterchooseping', 'realcampaign', 'singkonuebesamayo9', 'pinggaling']","https://twitter.com/dokbongantipolo/status/1507668888770658305"
"779","3/26/2022","pamsantiago07","nakiusap si senator ping lacson na huwag tumanggap ng pork barrel ang mga senador pero hindi sumangayon ang karamihan kasi   pera pera nga ang usapan  kay ping lacson dito tayo sa totoong pagbabago      ","['pinglacsonhanggangdulo', 'sinongpanggiyeramo', 'pinggaling', 'chooseping']","https://twitter.com/pamsantiago07/status/1507514314336264197"
"780","3/26/2022","andreal78561629","  dito na tayo sa presidential aspirants na walang bahid ng anu mang korapsyon ","['pinggaling']","https://twitter.com/AndreaL78561629/status/1507431809419980800"
"781","3/25/2022","aesyeo_aeojeu","an old ad that still rings true today alam kong matalino ang mga pilipino    <U+0001F499><U+0001F499><U+0001F499>","['chooseping', 'pinggaling']","https://twitter.com/Aesyeo_Aeojeu/status/1507379808254132226"
"782","3/24/2022","spml2022","ipng mo na  3term senator who refused pork barrel 4star general who disciplined the pnp 5decade long career as a public servant     ","['kapasidadatintegridad', 'pinggaling', 'lac5onlang', 'pingparasapilipino']","https://twitter.com/spml2022/status/1506935647206273028"
"783","3/24/2022","pamsantiago07","magandang umaga  tara na at mag kaping mainit <U+0001F499>  thank you lord for a safe trip        ","['speakcup', 'pinggaling', 'chooseping', 'lacsonsottopanalotayo']","https://twitter.com/pamsantiago07/status/1506759366258532358"
"784","3/24/2022","jelian_manalo","  tiyak na marami ang matutuwa sa balitang yan  <U+0001F44D><U+0001F44D><U+0001F499><U+0001F499><U+0001F499>","['pinggaling', 'lacsonmostqualifiedpresident']","https://twitter.com/jelian_manalo/status/1506699938105008129"
"785","3/23/2022","pamsantiago07","he is very fair and just   family of atio castillo iii hazing victim   ibabalik ang tiwala sa mga nanunungkulan  aayusin ang gobyerno aayusin ang buhay ng bawat pilipino   i choose ping lacson  ","['sinongpanggiyeramo', 'pinggaling', 'chooseping']","https://twitter.com/pamsantiago07/status/1506532805857013761"
"786","3/23/2022","pamsantiago07","he is very fair and just   family of atio castillo iii hazing victim   ibabalik ang tiwala sa mga nanunungkulan  aayusin ang gobyerno aayusin ang buhay ng bawat pilipino   i choose ping lacson  ","['sinongpanggiyeramo', 'pinggaling', 'chooseping']","https://twitter.com/pamsantiago07/status/1506532559655604224"
"787","3/23/2022","pamsantiago07","he is very fair and just   family of atio castillo iii hazing victim   ibabalik ang tiwala sa mga nanunungkulan  aayusin ang gobyerno aayusin ang buhay ng bawat pilipino   i choose ping lacson  ","['sinongpanggiyeramo', 'pinggaling', 'chooseping']","https://twitter.com/pamsantiago07/status/1506532359797047298"
"788","3/23/2022","pamsantiago07","he is very fair and just   family of atio castillo iii hazing victim   ibabalik ang tiwala sa mga nanunungkulan  aayusin ang gobyerno aayusin ang buhay ng bawat pilipino   i choose ping lacson  ","['sinongpanggiyeramo', 'pinggaling', 'chooseping']","https://twitter.com/pamsantiago07/status/1506532010046603265"
"789","3/23/2022","dokbongantipolo","     ","['pingismypresident', 'switchtoping', 'pinggaling', 'lacsonsotto2022']","https://twitter.com/dokbongantipolo/status/1506526612065464327"
"790","3/23/2022","pamsantiago07","mga plataporma ni ping lacson para sa agrikultura   untiunting pagtapos ng importasyon ng mga produktong agrikultura  sino ang panggiyera mo sucs in agricultural areas should focus on farming courses lacson proposes ","['pinggaling', 'chooseping']","https://twitter.com/pamsantiago07/status/1506523462268964865"
"791","3/22/2022","phpgtwit","sa aking palagay pag nanalo si bbm magpeople power ang mga pink pag nanalo si vpl people power naman ang mga red and greensana si spl nalang ang manalo para tahimik na at maka moveon ang bansa tutal sya naman ang pinakahanda  ","['halalan2022', 'pinggaling']","https://twitter.com/phpgtwit/status/1506244789284466691"
"792","3/22/2022","pamsantiago07","bakit si ping lacson   alamin kung ano ang brave na plataporma ni senator ping lacson <U+0001F499>  isa ito sa pinaka magandang pwedeng gawin natin para masolusyonan ang malaking korapsyon sa pilipinas       ","['sinongpanggiyeramo', 'lacsonsottopanalotayo', 'pinggaling', 'chooseping']","https://twitter.com/pamsantiago07/status/1506201270897430528"
