"","date","username","tweet","hashtags","link"
"1","2/15/2022","soundcheckmnl","ang laway ko nasasangla      keeps his promises  hes done that for manila he can do that for the entire nation  promise kaya  and vote for  <U+0001F499><U+0001F499><U+0001F499><U+0001F499> ","['iskomoreno', 'kayiskoposible', 'switchtoisko', 'yorme']","https://twitter.com/SoundCheckMNL/status/1493578906401591299"
"2","2/14/2022","senseknockr3435","  ","['iskomoreno', 'yorme', 'switchtoisko']","https://twitter.com/senseknockr3435/status/1493126329016864768"
"3","2/12/2022","yennyennmp","okkkk thank you yorme mas deserving ka talaga sa 2nd place <U+261D><U+0001F3FB>     ","['yorme', '2ndplace', 'halalan2022']","https://twitter.com/yennyennmp/status/1492181485654183938"
"4","2/11/2022","soundcheckmnl","habang lahat nagkakagulo at nag aaway away online nagbibigay si   ng 700000 food boxes sa maynila yan ang leader     ","['yorme', 'kayiskoposible', 'switchtoisko', 'biliskilos', 'iskomoreno']","https://twitter.com/SoundCheckMNL/status/1492014822510428163"
"5","2/10/2022","slayerngjupal","may na boost na old post about sa gambling days ni iskoba nakaka aliw ang comments section sana naitanong din ni mareng jessica ito bukod sa 50m subi ni iskopal    ","['yorme', 'iskomoreno']","https://twitter.com/SlayerNgJupal/status/1491755183785005065"
"6","2/10/2022","pinoytrendph","angelica panganiban nasaktan pala nang tawagin siyang hugot queen ","['marcosduwag', 'marcosnumber1sinungaling', 'lenitangasalahat', 'yorme', 'letlenilead', 'trending', 'trendingnow']","https://twitter.com/PINOYTRENDPH/status/1491739567074181123"
"7","2/10/2022","beausoul","ang turon bow ayaw mo haayan binato ka ng turon arte mo eh  ","['yorme']","https://twitter.com/BeauSoul/status/1491702067580530688"
"8","2/9/2022","apolakay15","","['yorme']","https://twitter.com/APOLAKAY15/status/1491416817000411136"
"9","2/9/2022","andreus73336134","what happened to  ","['godfirst', 'yorme']","https://twitter.com/Andreus73336134/status/1491393744347987972"
"10","2/9/2022","byxbuzz","yorme    ","['iskomoreno', 'yorme']","https://twitter.com/byxbuzz/status/1491087039139254274"
"11","2/9/2022","jacquelinemegan","future president of the philippines    looking very young and fresh and hip at the proclamation rallly kanina  this man has the heart the wisdom  has proven he can do things big things quickly and effectively    ","['yorme', 'iskomoreno', 'kayiskoposible', 'switchtoisko']","https://twitter.com/jacquelinemegan/status/1491085577407516675"
"12","2/8/2022","missyjig_","hindi ba pwede yung kung sino manalo na president magtulongtulong nalang kayo huh isa lang naman goal nyo dba para sa bansa daw umayos kayo     ","['leni', 'ping', 'bbm', 'manny', 'yorme']","https://twitter.com/missyjig_/status/1491046466710032388"
"13","2/8/2022","jocymic_08","     ","['iskomorenodomagoso', 'yorme', 'mypresident', 'godfirst', 'biliskilos']","https://twitter.com/jocymic_08/status/1491034795270303748"
"14","2/8/2022","brainyoreo","maiba naman hahaha ","['yorme']","https://twitter.com/brainyoreo/status/1491017477547241472"
"15","2/8/2022","opinyonnews","arroceros urban forest park  is now open after months of work  masaya po ako na kahit paano ay naisalba po natin ang arroceros park   yorme   read more ","['yorme', 'iskomoreno', 'arrocerosurbanpark', 'manila']","https://twitter.com/OpinYonNews/status/1491004790499057664"
"16","2/16/2022","premo_zen","grind  eat  sleep  repeat btw good morning    ","['isko', 'axieinfinity', 'nfts']","https://twitter.com/Premo_zen/status/1493725907466395648"
"17","2/16/2022","ritchiemarmol","may sagot na dito si  di pa sya natatanong ang sagot afp chief should be navy","['isko']","https://twitter.com/ritchiemarmol/status/1493623930862850049"
"18","2/15/2022","premo_zen","its so cold<U+0001F976><U+0001F328><U+FE0F> but still grinding  alright  ","['isko', 'axiescholarship']","https://twitter.com/Premo_zen/status/1493581270797848579"
"19","2/15/2022","alias_dabe","smni presidential debate crowd sound effect ay galing ba sa youtube hahaha in fairness so far halos magkakalevel ang sagot nilang apat <U+0001F923>     ","['smnipresidentialdebate', 'isko', 'leni', 'lacson', 'bbm']","https://twitter.com/alias_dabe/status/1493560511426101248"
"20","2/15/2022","qwtttrt","im willing to vote  only if shell say that she condemns cppnpandf same with  change my mind   ","['leniforpresident2022', 'isko', 'election2022', 'eleksyon2022', 'bbmismypresident2022']","https://twitter.com/qwtttrt/status/1493525573083095044"
"21","2/15/2022","not_voting_2022"," lackluster lineup <U+0001F602>    puppet   a fake it till you make it guy   wolf in sheeps clothing   questionable    lack of knowledge","['2022elections', 'leni', 'isko', 'ping', 'bbm', 'pacquiao']","https://twitter.com/not_voting_2022/status/1493479363844919296"
"22","2/15/2022","ayasthetic_","one of my professors mentioned during class na 5mos na silang hindi sumasahod kasi bumili ng generator si isko para idonate nice one isko gods first <U+261D><U+FE0F>   ","['isko', 'dutertelite', 'leniangatsalahat', 'kulayrosaangbukas']","https://twitter.com/AYASTHETIC_/status/1493470297466408966"
