"","date","username","tweet","hashtags","link"
"95","3/20/2022","philnews247","should excise tax be suspended presidential candidates answer in comelec debate 2022      read ","['lenirobredo', 'iskomoreno', 'mannypacquiao', '2022election']","https://twitter.com/PhilNews247/status/1505351771375382529"
"96","3/19/2022","mpac_foundation","in life there are no losses we either win or we learn   <U+0001F94A> be a champion today and help provide a family with a home link in bio      ","['pacquiaofoundation', 'mannypacquiao', 'mannyscorner']","https://twitter.com/MPac_Foundation/status/1505172738381541377"
"97","3/19/2022","kennethnhol","i just dont know why i have so much respect for  ","['mannypacquiao', 'pilipinasdebates2022']","https://twitter.com/KennethNhol/status/1505162727056035842"
"98","3/19/2022","icabtwn","thank you  for knowing the purpose of tesda","['mannypacquiao']","https://twitter.com/IcaBtwn/status/1505160160272035842"
"99","3/19/2022","pauumeow","dapat ilagay ang tamang tao iatfpara alam nila yung ginagawa nila kung swimming ang labanan dapat swimmer ang ilagay mo hindi boxer kung boxing labanan edi boxer ilagay mo   whooo bars   ","['mannypacquiao', 'pilipinasdebates2022']","https://twitter.com/PauuMeow/status/1505156267790192644"
"100","3/19/2022","jpoy1982","emmanuel means god is with us  ","['mannypacquiao', 'pilipinasdebates2022']","https://twitter.com/JPoy1982/status/1505145382694707204"
"101","3/19/2022","javierjismael1"," presidential candidate manny pacquiao says that on the first year of his administration he will focus on the gdp and in improving the countrys economy ","['pilipinasdebates2022', 'mannypacquiao']","https://twitter.com/JAVIERJISMAEL1/status/1505144626801672192"
"102","3/18/2022","catsarenotcute","lets say i am undecided how would you convince me to vote for your candidate please be respectful  go        ","['halalan2022', 'uniteambbmsara2022', 'lenirobredo2022', 'pinglacson', 'iskomoreno', 'mannypacquiao']","https://twitter.com/catsarenotcute/status/1504764746679025669"
"103","3/18/2022","erin48114165","sinu b ang karapatdapat manalo c pagkapresidente ng pilipinas a thread           you can choose to ignore my tweet but since this is my page i have the right to say my piece","['bbmforpresident', 'leniforpresident2022', 'iskomoreno', 'mannypacquiao', 'pinglacson']","https://twitter.com/erin48114165/status/1504504486286528518"
"104","3/17/2022","masterlei8","   ","['storytime', 'valentinerosales', 'mannypacquiao']","https://twitter.com/MasterLei8/status/1504421957441560579"
"105","3/17/2022","worldboxingnews","manny pacquiao a long shot in presidential election tipped for comeback ","['mannypacquiao']","https://twitter.com/WorldBoxingNews/status/1504420368815214595"
