"","date","username","tweet","hashtags","link"
"5772","3/24/2022","bbmcards"," <U+5148><U+9663><U+3092><U+5207><U+3063><U+3066><U+65E5><U+672C><U+4E00><U+306E><U+30B9><U+30EF><U+30ED><U+30FC><U+30BA><U+304C><U+767B><U+5834><U+FE0F> ","['ヤクルトチームパック', 'インサートカード', '清水昇', '東京ヤクルトスワローズ', 'swallows', 'bbmcards', 'bbmカード', 'bbm']","https://twitter.com/BBMcards/status/1506907418449485824"
"5773","3/24/2022","takiehashi0_0","i will never regret supporting ","['bbm']","https://twitter.com/takiehashi0_0/status/1506904606881705987"
"5774","3/24/2022","fazacastello","mohon bantuannya packtrucknya habis bahan bakar ni      ","['pertamina', 'bbm', 'solar']","https://twitter.com/fazacastello/status/1506903861415809026"
"5775","3/24/2022","bbmcards"," <U+5148><U+9663><U+3092><U+5207><U+3063><U+3066><U+65E5><U+672C><U+4E00><U+306E><U+30B9><U+30EF><U+30ED><U+30FC><U+30BA><U+304C><U+767B><U+5834><U+FE0F> ","['ヤクルトチームパック', 'レギュラーカード', 'オスナ', '東京ヤクルトスワローズ', 'swallows', 'bbmcards', 'bbmカード', 'bbm']","https://twitter.com/BBMcards/status/1506903654980366336"
"5776","3/24/2022","cuyugansheng","  solid and vp inday sara","['bbm']","https://twitter.com/CuyuganSheng/status/1506902996604841984"
"5777","3/24/2022","lampungpostid","antrean bahan bakar minyak bbm jenis solar di seluruh stasiun pengisian bahan bakar umum spbu di bandar lampung makin tidak terkendali      ","['bbm', 'spbu', 'beritaterkini', 'lampungpostid']","https://twitter.com/lampungpostid/status/1506900636662910977"
"5778","3/24/2022","santosmaristel5","  who is alvarez he is nothing but a traitor  ","['lacson', 'bbm']","https://twitter.com/santosmaristel5/status/1506899727513960448"
"5779","3/24/2022","7thvicente","yikes<U+0001F61D> no to corruption pero   <U+0001F61D><U+0001F44E><U+0001F3FC>  ","['bbm', 'marcostaxevader', 'marcosmagnanakaw']","https://twitter.com/7thVicente/status/1506899419756589056"
"5780","3/24/2022","_rakyatmerdeka","harga minyak mentah dunia naik gus muhaimin ingatkan pemerintah jaga stok bbm      ","['bbm', 'rakyatmerdeka', 'rmid']","https://twitter.com/_rakyatmerdeka/status/1506899079791800322"
"5781","3/24/2022","gab19027934"," wait nyo lang maupo si  kundi may paglalagyan kayo mga asal tulisan","['bbm']","https://twitter.com/Gab19027934/status/1506897626041520132"
"5782","3/24/2022","bbmcards","2022  rough diamond <U+30EB><U+30FC><U+30AD><U+30FC><U+306E>  <U+3082> <U+9650><U+5B9A><U+5C01><U+5165><U+3055><U+308C><U+308B><U+4EBA><U+6C17><U+30B7><U+30EA><U+30FC><U+30BA><U+2728> ","['icons', '直筆サインカード', '直筆サインカード', '土田龍空', '中日ドラゴンズ', 'dragons', 'bbmcards', 'bbmカード', 'bbm']","https://twitter.com/BBMcards/status/1506896093962940422"
"5783","3/24/2022","cpatricialaurel"," in gentri <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F> ","['bbm']","https://twitter.com/cpatricialaurel/status/1506895414246912001"
"5784","3/24/2022","clangdiche","sobrang lala nung nag sabi na  parepareho lang yan   like tanga ka kung ganyan mindset mo kaparehas mo idol mo  kaya nag susuffer pilipinas sa mga ganyang mentality<U+0001F644>  ibahin mo si  resibo  mapag hahalata mo kung sino ayaw ng pagbabago pananaw pa lang bagsak na <U+0001F6AE>","['bbm', 'leni']","https://twitter.com/clangdiche/status/1506895406814310404"
"5785","3/24/2022","cpatricialaurel"," in lucena <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> ","['bbm']","https://twitter.com/cpatricialaurel/status/1506894923018424323"
"5786","3/24/2022","karls261124","handa na si mama og papa <U+0001F49A><U+2665><U+FE0F> hehehe      ","['bbmforpresident', 'bbmsarauniteam', 'bbm']","https://twitter.com/Karls261124/status/1506893603137888258"
"5787","3/24/2022","lazadaxreviews"," hahah di naman kawalan yan remember  yan kaya tanga yan","['bbm']","https://twitter.com/lazadaXreviews/status/1506892895642873856"
"5788","3/24/2022","ewicanlorelie"," ","['bbm', 'bbmforpresident']","https://twitter.com/EwicanLorelie/status/1506892426140479490"
"5789","3/24/2022","__kianarikate","sa gobyernong tapat pakiss ak love gshagshashhshahhashshhashashahshahshahshhashashhasha  ","['bbm', 'leni']","https://twitter.com/__kianarikate/status/1506889574852841476"
"5790","3/24/2022","akemi043","ilokano tiktoker explaining her side why she did an anti video scripted at hindi lang siya marami daw sila   ang tanong me bayad ba sila or libre   ","['bbm']","https://twitter.com/akemi043/status/1506887238872879107"
"5791","3/24/2022","kazunorikosuge","<U+304A><U+304B><U+3048><U+308A><U+306A><U+3055><U+3044>   ","['シルバーアクセサリー', 'bbm']","https://twitter.com/KazunoriKosuge/status/1506885618504126467"
