"","tweet"
"122","true camp aspirant asked questions advance granted heshe declined called lame excuses"
"123","better wear yellow fits nicely"
"124","go fight win toni"
"125","kayang tanggapin mapait katotohanan talo bbm sara sakalam"
"126","ganda loss absence"
"127","happy bbmsara"
"128","road unity uniteam"
"129","bbm mission complete bbm supported network groupowned managed master child baiter quiboloy united presidential candidates attend presidential debate"
"130","least effort bus loads kakampinks laguna pinanggalingan"
"131","hoyy bbm sara consistent supporters caravan interviews surveys"
"132","tama tlaga tpthis debateung previous talks interviewsplease"
"133","kakampink lipat kyo bbm sinabihan kyo love bastos di paris ina makipag selfie pinalayas"
"134","always top survey bbmsara"
"135","baliw talagapink taliban pr team balot ulo nanay nilagyan bigote twin sister osama bin laden"
"136","id choose hated supporting bbm regretting support wrong leader"
"137","go fake news go broke"
"138","nagtataka baliktad mundo todo advise bbm supporters acts straight dedma watching proclamation rally taking notes ha"
"139","totoo madaming magagawa iboto kurakot tska kasabwat mandaya boto omj kakahiya nice toni"
"140","omg inggit kakampink oh manang mana ina hahahahhaa"
"141","sabhin nyu lipad kinang kandidato nyubnigyan sha opportunity walley happy tomorrow new beginning"
"142","iyayy best candidate win"
"143","unite supporters mabuhay success buyag"
"144","bastat tayoy magkasama laging umagang ganda nagstart ended viewers naalala nun proclaim duterte president feels nakakatindig balahibo nkakaiyak higit nkaka proud pilipino"
"145","oh watched proclamation thank"
"146","yessss congratulations"
"147","toni nanalo"
"148","sorry"
"149","malakas"
"150","malakas"
"151","kulilat ulol nagmamalaki hahahahha nanalo malakas"
"152","hahahhahaha nanalo malakas"
"153","lokohin pinklawan hahahhaha quezon malakas"
"154","quezon lukohin nanalo malakas"
"155","nanalo malakas gawin kulto tangapin career sinusuportahan"
"156","go"
"157","nakakalunkot"
"158","bbm declined cnn bias networks ngawa decline invitation heart heart kakampwet"
"159","filipinos prefer bbmsara mainstream media remains overwhelmingly antimarcos mainstream media longer represent filipino people"
"160","magmumuka kaming mayabang"
"161","pasenxa pangulo"
"162","malakas natalo pretty dinaya"
"163","fatherlike son ferdinands"
"164","malakas leni bangag lutang kulilat nanalo"
"165","malakas"
"166","unsee len ahahahaha"
"167","ive scurrying forth publications websites searching plans platforms presidential candidates genuine question find primary sources bbms plans leni compiled website"
"168","mandaluyong malakas"
"169","insane"
"170","bbm president"
"171","bbm solid"
"172","nakakahawa energy nanood online ramdam tagos"
"173","oh false asia pulse asia"
"174","syempre"
"175","mabawi bbm government owned companies meralco pldt phil steel bonifacio global benta private sectors file ulit gov case hli confiscate land give rightful owners"
"176","count malakas leni isko nd place hahahhaha"
"177","malakas"
"178","coming uknown trying hard starlet malakas"
"179","malakas"
"180","mygaddd"
"181","nanalo malakas"
"182","hahahhahahaha hahahahha malakas"
"183","malakas"
"184","reasons love"
"185","gawin paninira kasinungalingan panlilinlang tao maniniwala ulolan hahahha next presidente"
"186","tiktok comment supporter anymore"
"187","malakas"
"188","social media account owner allegedly warned assassination plot presidential candidate ferdinand bongbong jr agreed undergo polygraph test prove innocence"
"189","dh di kilala"
"190","social media account owner allegedly warned assassination plot presidential candidate ferdinand bongbong jr agreed undergo polygraph test prove innocence"
"191","supporter asked refer son late dictator google"
"192","novaliches bishop emeritus founder servant leader endorsement late dictators son malingmali endorsement bro mike pananaw malingmali"
"193","bongbong join presidential debate"
"194","happy hearts bbm qc bbmsara"
"195","drop tags bony"
"196","bongbong skip cnn philippines presidential debate"
"197","gawin lugaw malakas"
"198","mandaluyong malakas"
"199","difficult moments nagpapakita nagpapatawag pressmedia difficult moments nagpapakita"
"200","caravan bbm masaya masanay lenie"
"201","magaling lr tulugan hours kya election gising hours magic"
"202","goosebumps"
"203","malakas ina baliw"
"204","el shaddai endorse"
"205","bbm indulge negative campaigning"
"206","bbm proclamation qc"
"207","air time bbm maipaliwanag publiko plataporma de gobierno"
"208","head good luck"
"209","bibitter"
"210","usap usap isabutahe ahhhpinapakita weak silang"
"211","agree linaw paliwanag knila lagi lamg sasabihin magnanakaw chuchukung eengage kyo lagyan paulit ulit reply magsi tigil babastos"
"212","nood bukas presidential debate"
"213","win"
"214","di apektado iyak paglulupasay don ina ubod banal pagawan rebulto"
"215","bother inoffens fenks pagod pagod digital manager pagpapakalat hate explain bsta khit iyak lupasay solid"
"216","oist nmin pinipilit iboto ina pagkabanal banal bahid dungis susko khit kausapin never macoconvert kulay"
"217","rose pula red green tumbling un valentines red pink"
"218","nakaluhod dinadasal ikakasama gsto boto ina nuknukan banal go di inaaya iboto ina bahid kasalanan napakalinis"
"219","ah dodong pastor quiboloy inis talo dodong maneh"
"220","time nauna sakin iboto pagbago put trust"
"221","tiktok nakagawa tuloy background music go"
"222","syempre nagfeeling reporter amoranto stadium"
"223","debate ahhindi interview debate interview iiba hinihintay"
"224","happy valentines"
"225","true bbm bastusin leni babae take note leni robredo perfect"
"226","great job prove unity intelligence success"
"227","presidente"
