,time,open,high,low,close,tick_volume,spread,real_volume
0,1659312000,1.02115,1.02259,1.02053,1.02201,8026,6,0
1,1659326400,1.02202,1.0241,1.02153,1.02237,12171,6,0
2,1659340800,1.02226,1.02675,1.02132,1.02557,19778,6,0
3,1659355200,1.02558,1.02698,1.02248,1.02359,21428,6,0
4,1659369600,1.02358,1.02749,1.02265,1.02739,27497,6,0
5,1659384000,1.02738,1.02741,1.02451,1.0254,10719,6,0
6,1659398400,1.02597,1.02935,1.02482,1.02866,9391,6,0
7,1659412800,1.02867,1.02867,1.02608,1.02711,18208,6,0
8,1659427200,1.0271,1.02764,1.02147,1.02405,24617,6,0
9,1659441600,1.02401,1.02452,1.02062,1.02116,20533,6,0
10,1659456000,1.02117,1.02357,1.01809,1.01949,32461,6,0
11,1659470400,1.01945,1.01958,1.01621,1.01621,13240,6,0
12,1659484800,1.01643,1.01727,1.01498,1.01579,8468,6,0
13,1659499200,1.01581,1.01933,1.01565,1.01857,14218,6,0
14,1659513600,1.01858,1.01911,1.0154,1.01877,22492,6,0
15,1659528000,1.0187599999999999,1.02099,1.01786,1.01858,22652,6,0
16,1659542400,1.01857,1.01872,1.01225,1.01499,30780,6,0
17,1659556800,1.015,1.01737,1.01482,1.01639,9762,6,0
18,1659571200,1.01612,1.0171,1.0154,1.0165,6489,6,0
19,1659585600,1.01647,1.0176,1.01601,1.01639,9430,6,0
20,1659600000,1.01638,1.01939,1.01564,1.01914,18556,6,0
21,1659614400,1.01913,1.01977,1.016,1.01878,23830,6,0
22,1659628800,1.01879,1.02392,1.0173,1.0236,27577,6,0
23,1659643200,1.02359,1.02533,1.02304,1.0244,8639,6,0
24,1659657600,1.02439,1.02518,1.02312,1.0232,5105,6,0
25,1659672000,1.0232,1.02393,1.02292,1.02349,7297,6,0
26,1659686400,1.02349,1.02389,1.02181,1.02235,13985,6,0
27,1659700800,1.02236,1.02382,1.01536,1.01576,21289,6,0
28,1659715200,1.01575,1.0187,1.01412,1.01824,32420,6,0
29,1659729600,1.01823,1.01925,1.01717,1.01792,13133,6,0
30,1659916800,1.01724,1.01787,1.01589,1.0166,6608,6,0
31,1659931200,1.01659,1.01855,1.01639,1.01853,7631,6,0
32,1659945600,1.01854,1.02146,1.0171,1.01915,17233,6,0
33,1659960000,1.01919,1.0202,1.01724,1.01983,15580,6,0
34,1659974400,1.01985,1.02216,1.01905,1.01957,18510,6,0
35,1659988800,1.01959,1.02051,1.0185,1.01936,8782,6,0
36,1660003200,1.01935,1.02007,1.01886,1.01911,3743,6,0
37,1660017600,1.01913,1.01971,1.01883,1.01936,5353,6,0
38,1660032000,1.01936,1.02444,1.01925,1.0239,15169,6,0
39,1660046400,1.02389,1.02471,1.02143,1.02371,15582,6,0
40,1660060800,1.0237,1.0244,1.02143,1.0218,15589,6,0
41,1660075200,1.0218,1.02199,1.02022,1.02123,6253,6,0
42,1660089600,1.02123,1.02142,1.02024,1.02074,4140,6,0
43,1660104000,1.02072,1.02188,1.02051,1.02126,5881,6,0
44,1660118400,1.02126,1.02255,1.02018,1.02219,12556,6,0
45,1660132800,1.02219,1.03458,1.02168,1.03239,24224,6,0
46,1660147200,1.03238,1.03684,1.03048,1.03247,36133,6,0
47,1660161600,1.03248,1.03281,1.02942,1.02985,13082,6,0
48,1660176000,1.02984,1.03043,1.02932,1.02979,4631,6,0
49,1660190400,1.02978,1.02978,1.0281,1.02829,6727,6,0
50,1660204800,1.02829,1.03411,1.0275,1.0340799999999999,16869,6,0
51,1660219200,1.0340799999999999,1.03515,1.03218,1.03467,21520,6,0
52,1660233600,1.03465,1.03641,1.03235,1.03296,25975,6,0
53,1660248000,1.03297,1.03322,1.03093,1.03191,9444,6,0
54,1660262400,1.03158,1.03271,1.03063,1.03128,4846,6,0
55,1660276800,1.03128,1.03213,1.03045,1.03172,6513,6,0
56,1660291200,1.03172,1.0324,1.02878,1.03017,12778,6,0
57,1660305600,1.03016,1.03081,1.02686,1.0270299999999999,16781,6,0
58,1660320000,1.0270299999999999,1.02838,1.02377,1.02561,24812,6,0
59,1660334400,1.02563,1.02676,1.02541,1.02562,7429,6,0
60,1660521600,1.02546,1.02669,1.0249,1.02658,4195,6,0
61,1660536000,1.02659,1.02681,1.02394,1.02501,7144,6,0
62,1660550400,1.02501,1.02519,1.01997,1.02068,13228,6,0
63,1660564800,1.02068,1.02143,1.01856,1.02005,18088,6,0
64,1660579200,1.02004,1.02228,1.01713,1.01754,17910,6,0
65,1660593600,1.01755,1.0178,1.01543,1.01588,6078,6,0
66,1660608000,1.01588,1.01668,1.01471,1.01533,4782,6,0
67,1660622400,1.01532,1.01695,1.01487,1.01585,6229,6,0
68,1660636800,1.01585,1.01685,1.01336,1.01384,16859,6,0
69,1660651200,1.01387,1.01461,1.01223,1.01434,18791,6,0
70,1660665600,1.01435,1.01945,1.01427,1.01654,20570,6,0
71,1660680000,1.01655,1.01803,1.01617,1.01703,6200,6,0
72,1660694400,1.01695,1.01744,1.01616,1.01703,5425,6,0
73,1660708800,1.01702,1.01835,1.01663,1.01811,7301,6,0
74,1660723200,1.01811,1.01862,1.01489,1.01735,18871,6,0
75,1660737600,1.01734,1.01835,1.01452,1.0158,19025,6,0
76,1660752000,1.0158,1.01982,1.01527,1.01649,20604,6,0
77,1660766400,1.0165,1.02026,1.01626,1.01782,16648,6,0
78,1660780800,1.0178,1.01926,1.01721,1.0187599999999999,4404,6,0
79,1660795200,1.0187599999999999,1.0191,1.01626,1.01666,9827,6,0
80,1660809600,1.01665,1.01781,1.01457,1.01667,17029,6,0
81,1660824000,1.01668,1.01879,1.01576,1.01698,20296,6,0
82,1660838400,1.01697,1.01719,1.00885,1.00898,21279,6,0
83,1660852800,1.00898,1.0098799999999999,1.0079,1.00843,8795,6,0
84,1660867200,1.00841,1.0092,1.00738,1.0079,4870,6,0
85,1660881600,1.00788,1.00865,1.00696,1.00756,7829,6,0
86,1660896000,1.00753,1.00951,1.00736,1.00883,15498,6,0
87,1660910400,1.00882,1.00888,1.00452,1.00652,17499,6,0
88,1660924800,1.00649,1.00682,1.00323,1.00355,17421,6,0
89,1660939200,1.00356,1.00455,1.00316,1.00394,5828,6,0
90,1661126400,1.00365,1.00401,1.00246,1.00256,5551,6,0
91,1661140800,1.00254,1.00462,1.00231,1.00379,8055,6,0
92,1661155200,1.00376,1.00392,0.99887,1.00134,17426,6,0
93,1661169600,1.00135,1.00178,0.9995,1.00058,16989,6,0
94,1661184000,1.00059,1.00072,0.99274,0.99315,21991,6,0
95,1661198400,0.99316,0.99458,0.99257,0.99412,6721,6,0
96,1661212800,0.99401,0.99499,0.99298,0.99395,5168,6,0
97,1661227200,0.99394,0.99487,0.99343,0.99343,6856,6,0
98,1661241600,0.99342,0.99495,0.99001,0.99318,24994,6,0
99,1661256000,0.99318,0.99401,0.99124,0.99233,17957,6,0
100,1661270400,0.99234,1.00173,0.99201,0.9979,33710,6,0
101,1661284800,0.99789,0.99801,0.99592,0.99677,7898,6,0
102,1661299200,0.99676,0.99732,0.99517,0.99524,4858,6,0
103,1661313600,0.99523,0.99603,0.99422,0.99568,8189,6,0
104,1661328000,0.99569,0.99616,0.99344,0.99457,13633,6,0
105,1661342400,0.99456,0.99582,0.99142,0.99281,19886,6,0
106,1661356800,0.99281,0.99988,0.99096,0.99529,26934,6,0
