,time,open,high,low,close,tick_volume,spread,real_volume
0,1667232000,0.98897,0.99078,0.98726,0.98866,28273,6,0
1,1667246400,0.98865,0.98956,0.98726,0.98816,10811,6,0
2,1667260800,0.98813,0.98995,0.98806,0.98946,12294,6,0
3,1667275200,0.98947,0.99276,0.98926,0.99247,18802,6,0
4,1667289600,0.99246,0.99477,0.99083,0.99337,29651,6,0
5,1667304000,0.99336,0.99538,0.99231,0.99352,30240,6,0
6,1667318400,0.99362,0.99369,0.98525,0.98817,39893,6,0
7,1667332800,0.98816,0.98859,0.98722,0.98744,14062,6,0
8,1667347200,0.98748,0.98889,0.98697,0.98878,12920,6,0
9,1667361600,0.98876,0.98994,0.98786,0.98873,14992,6,0
10,1667376000,0.98876,0.99067,0.98708,0.99047,23262,6,0
11,1667390400,0.99046,0.99146,0.9884,0.9894,27745,6,0
12,1667404800,0.98941,0.98942,0.98585,0.98741,24314,6,0
13,1667419200,0.98743,0.99757,0.98125,0.98146,42008,6,0
14,1667433600,0.98146,0.98391,0.98095,0.98306,13439,6,0
15,1667448000,0.98305,0.98388,0.9824,0.98258,12069,6,0
16,1667462400,0.98257,0.98257,0.97474,0.9753,31895,6,0
17,1667476800,0.9753,0.97633,0.97297,0.97448,40287,6,0
18,1667491200,0.97464,0.97944,0.97422,0.97468,40134,6,0
19,1667505600,0.97468,0.97612,0.97422,0.97474,13186,6,0
20,1667520000,0.97466,0.97663,0.9742,0.97634,12382,6,0
21,1667534400,0.97634,0.97905,0.976,0.9775,16206,6,0
22,1667548800,0.9775,0.97959,0.97566,0.97752,31376,6,0
23,1667563200,0.97752,0.98813,0.97507,0.98662,47693,6,0
24,1667577600,0.98662,0.99403,0.98599,0.99229,49468,6,0
25,1667592000,0.99227,0.99662,0.9914,0.99575,17136,6,0
26,1667779200,0.99046,0.99467,0.99,0.99299,16856,6,0
27,1667793600,0.99299,0.99552,0.99249,0.9944,16667,6,0
28,1667808000,0.99441,1.00067,0.99237,0.99853,35958,6,0
29,1667822400,0.99854,0.9998,0.99656,0.99937,30886,6,0
30,1667836800,0.99936,1.00262,0.99806,1.00215,39303,6,0
31,1667851200,1.00214,1.00338,1.00184,1.00206,13187,6,0
32,1667865600,1.00168,1.00306,1.00107,1.00136,10390,6,0
33,1667880000,1.00137,1.00154,0.9995,0.99953,11215,6,0
34,1667894400,0.99952,1.00075,0.99712,1.00031,26180,6,0
35,1667908800,1.00032,1.00096,0.9985,0.99993,23631,6,0
36,1667923200,0.99992,1.00939,0.99982,1.0088,34556,6,0
37,1667937600,1.0088,1.00961,1.00538,1.00723,22761,6,0
38,1667952000,1.00712,1.00847,1.00587,1.00627,16030,6,0
39,1667966400,1.00629,1.00879,1.00629,1.0068,19574,6,0
40,1667980800,1.00681,1.00849,1.00399,1.00466,31040,6,0
41,1667995200,1.00466,1.00643,1.00223,1.00283,32539,6,0
42,1668009600,1.00283,1.00861,1.00107,1.00267,42798,6,0
43,1668024000,1.00269,1.00308,0.99925,1.00118,23135,6,0
44,1668038400,1.00058,1.00286,1.00017,1.00235,9952,6,0
45,1668052800,1.00236,1.00381,1.00099,1.00343,14446,6,0
46,1668067200,1.00342,1.00426,0.99591,0.99609,28025,6,0
47,1668081600,0.99607,1.01594,0.99352,1.01221,37367,6,0
48,1668096000,1.01225,1.0185,1.01096,1.01423,62771,6,0
49,1668110400,1.01431,1.02215,1.01424,1.02082,26103,6,0
50,1668124800,1.02065,1.02065,1.01628,1.01659,20664,6,0
51,1668139200,1.01659,1.02227,1.01659,1.02186,22218,6,0
52,1668153600,1.02186,1.02735,1.02078,1.02688,39171,6,0
53,1668168000,1.02688,1.03238,1.02538,1.03112,39634,6,0
54,1668182400,1.03113,1.03447,1.02655,1.03417,45500,6,0
55,1668196800,1.03416,1.03638,1.03377,1.03524,21319,6,0
56,1668384000,1.03348,1.03496,1.03112,1.03272,22921,6,0
57,1668398400,1.03273,1.03341,1.02976,1.03001,21902,6,0
58,1668412800,1.03002,1.03503,1.03,1.0312,31501,6,0
59,1668427200,1.03123,1.03357,1.0271,1.03175,34905,6,0
60,1668441600,1.0318,1.03508,1.0297,1.03353,40954,6,0
61,1668456000,1.03353,1.03583,1.03203,1.03203,16443,6,0
62,1668470400,1.03256,1.03288,1.03119,1.03192,12726,6,0
63,1668484800,1.03192,1.03344,1.03133,1.03319,15871,6,0
64,1668499200,1.03318,1.04178,1.03273,1.04003,37123,6,0
65,1668513600,1.04011,1.04813,1.03919,1.04381,40695,6,0
66,1668528000,1.04387,1.04442,1.0348,1.03847,53530,6,0
67,1668542400,1.03849,1.03885,1.02797,1.03419,48401,6,0
68,1668556800,1.03475,1.03609,1.03304,1.03432,21291,6,0
69,1668571200,1.03434,1.03866,1.03372,1.03732,29551,6,0
70,1668585600,1.03732,1.04251,1.03656,1.04197,36807,6,0
71,1668600000,1.04196,1.04383,1.03837,1.03906,34050,6,0
72,1668614400,1.03909,1.04122,1.03707,1.03835,41866,6,0
73,1668628800,1.03834,1.04045,1.03543,1.03923,20226,6,0
74,1668643200,1.03928,1.03979,1.03737,1.03772,11833,6,0
75,1668657600,1.03771,1.0383,1.03594,1.03799,16513,6,0
76,1668672000,1.03798,1.04062,1.03565,1.03634,26664,6,0
77,1668686400,1.03633,1.03699,1.03105,1.0312,40200,6,0
78,1668700800,1.03122,1.03565,1.03049,1.03498,37631,6,0
79,1668715200,1.03497,1.03693,1.0348,1.03617,16472,6,0
80,1668729600,1.03573,1.03778,1.03567,1.03673,12025,6,0
81,1668744000,1.03673,1.03905,1.0360800000000001,1.03714,16663,6,0
82,1668758400,1.03716,1.03956,1.0342,1.03813,32167,6,0
83,1668772800,1.03813,1.03863,1.03564,1.03642,26757,6,0
84,1668787200,1.03644,1.03715,1.03258,1.03328,32812,6,0
85,1668801600,1.03328,1.0337,1.03131,1.0322,12609,6,0
86,1668988800,1.03216,1.03329,1.02999,1.03115,12210,6,0
87,1669003200,1.03114,1.03116,1.02719,1.02819,18116,6,0
88,1669017600,1.02822,1.02867,1.02258,1.02266,28659,6,0
89,1669032000,1.02268,1.02557,1.02259,1.02541,25868,6,0
90,1669046400,1.02542,1.02624,1.02225,1.02321,29203,6,0
91,1669060800,1.0232,1.02482,1.02302,1.02392,14953,6,0
92,1669075200,1.02391,1.02681,1.02377,1.02602,11105,6,0
93,1669089600,1.02601,1.02673,1.02454,1.02531,11823,6,0
94,1669104000,1.02532,1.02859,1.02458,1.02686,26088,6,0
95,1669118400,1.02683,1.02906,1.02557,1.02602,24144,6,0
96,1669132800,1.02603,1.02956,1.02537,1.02956,26005,6,0
97,1669147200,1.02954,1.03078,1.02894,1.02982,11797,6,0
98,1669161600,1.02995,1.03208,1.02967,1.03104,8500,6,0
99,1669176000,1.03104,1.03307,1.03078,1.03269,10931,6,0
100,1669190400,1.03269,1.03483,1.03017,1.03248,22749,6,0
101,1669204800,1.03248,1.03402,1.02962,1.03315,25511,6,0
102,1669219200,1.03314,1.03835,1.03263,1.03634,37567,6,0
103,1669233600,1.03635,1.04047,1.0359,1.03925,24116,6,0
104,1669248000,1.03949,1.04249,1.03908,1.04231,13172,6,0
105,1669262400,1.04233,1.04482,1.04173,1.04337,13964,6,0
106,1669276800,1.04336,1.04393,1.03996,1.0419,24093,6,0
107,1669291200,1.0419100000000001,1.04289,1.03814,1.04224,23924,6,0
108,1669305600,1.04228,1.04271,1.04012,1.04085,18229,6,0
109,1669320000,1.04086,1.04138,1.04009,1.04073,6109,6,0
