,time,open,high,low,close,tick_volume,spread,real_volume
0,1575244800,1.10212,1.10259,1.1016,1.1018,1036,7,0
1,1575252000,1.1018,1.10205,1.10148,1.1018,1437,7,0
2,1575259200,1.1018,1.10209,1.10163,1.10174,967,7,0
3,1575266400,1.10174,1.10202,1.10174,1.10188,636,7,0
4,1575273600,1.10189,1.10223,1.10156,1.10167,2313,7,0
5,1575280800,1.10167,1.10209,1.10107,1.10139,3904,7,0
6,1575288000,1.10139,1.10165,1.10072,1.10079,2184,7,0
7,1575295200,1.10079,1.1036299999999999,1.10026,1.10324,4034,7,0
8,1575302400,1.10323,1.10762,1.10323,1.10704,7118,7,0
9,1575309600,1.10704,1.10905,1.10698,1.10746,4350,7,0
10,1575316800,1.10746,1.1082,1.10698,1.10779,2109,7,0
11,1575324000,1.10779,1.10846,1.10769,1.1078000000000001,1573,7,0
12,1575331200,1.10779,1.10819,1.10745,1.10756,1049,7,0
13,1575338400,1.10757,1.10777,1.10711,1.1072,1429,7,0
14,1575345600,1.10718,1.10763,1.10709,1.10757,1027,7,0
15,1575352800,1.10757,1.10777,1.10711,1.1072899999999999,946,7,0
16,1575360000,1.1073,1.10822,1.10716,1.1076,1990,7,0
17,1575367200,1.10761,1.10865,1.10755,1.10831,4084,7,0
18,1575374400,1.10831,1.10857,1.10655,1.10746,5235,7,0
19,1575381600,1.10746,1.10775,1.10688,1.1072,3453,7,0
20,1575388800,1.10721,1.10875,1.10695,1.10818,6181,7,0
21,1575396000,1.10819,1.10931,1.10777,1.10879,3423,7,0
22,1575403200,1.10879,1.10901,1.10796,1.10808,2030,7,0
23,1575410400,1.10809,1.10829,1.10788,1.10789,1246,7,0
24,1575417600,1.10797,1.10828,1.10795,1.10814,1024,7,0
25,1575424800,1.10815,1.1084,1.10763,1.10788,2204,7,0
26,1575432000,1.10788,1.10809,1.10778,1.10789,892,7,0
27,1575439200,1.10789,1.1078999999999999,1.10733,1.10749,1040,7,0
28,1575446400,1.10749,1.10786,1.10728,1.10773,1789,7,0
29,1575453600,1.10774,1.10875,1.10664,1.10721,6442,7,0
30,1575460800,1.10721,1.1077,1.10672,1.10684,3187,7,0
31,1575468000,1.10684,1.11074,1.10684,1.11069,5076,7,0
32,1575475200,1.11068,1.11158,1.10807,1.10876,6869,7,0
33,1575482400,1.10876,1.10909,1.1068,1.10774,3825,7,0
34,1575489600,1.10774,1.10774,1.10669,1.10741,2016,7,0
35,1575496800,1.10741,1.10799,1.10724,1.10764,1661,7,0
36,1575504000,1.10766,1.10828,1.10747,1.10823,930,7,0
37,1575511200,1.10823,1.10848,1.10796,1.10838,1798,7,0
38,1575518400,1.10838,1.10865,1.10808,1.10849,959,7,0
39,1575525600,1.10849,1.10849,1.10812,1.10828,765,7,0
40,1575532800,1.10828,1.10849,1.10796,1.10796,2464,7,0
41,1575540000,1.10796,1.10926,1.10788,1.10917,2944,7,0
42,1575547200,1.10917,1.10967,1.10842,1.1090200000000001,2923,7,0
43,1575554400,1.1090200000000001,1.11006,1.10885,1.10925,3593,7,0
44,1575561600,1.10923,1.1104,1.10899,1.10924,4374,7,0
45,1575568800,1.10924,1.11074,1.10909,1.11043,3235,7,0
46,1575576000,1.11043,1.11044,1.10957,1.10999,1997,7,0
47,1575583200,1.10998,1.11076,1.10957,1.11032,1993,7,0
48,1575590400,1.11035,1.11055,1.11021,1.11035,846,7,0
49,1575597600,1.11035,1.11067,1.11026,1.11061,1250,7,0
50,1575604800,1.11063,1.11086,1.1106,1.11072,879,7,0
51,1575612000,1.11071,1.11075,1.11056,1.11061,749,7,0
52,1575619200,1.11061,1.11069,1.11012,1.11066,1857,7,0
53,1575626400,1.11066,1.11094,1.10949,1.1096300000000001,2664,7,0
54,1575633600,1.1096300000000001,1.11011,1.10905,1.10929,2008,7,0
55,1575640800,1.1093,1.10976,1.10684,1.10777,5266,7,0
56,1575648000,1.10777,1.10788,1.10393,1.105,6415,7,0
57,1575655200,1.10499,1.10553,1.10456,1.10544,2699,7,0
58,1575662400,1.10544,1.10567,1.10501,1.10555,1649,7,0
59,1575669600,1.10555,1.10602,1.10536,1.10599,1448,7,0
60,1575849600,1.1056300000000001,1.10602,1.10556,1.1058,862,7,0
61,1575856800,1.1058,1.10595,1.1054,1.10568,1539,7,0
62,1575864000,1.10568,1.10568,1.1053,1.10541,853,7,0
63,1575871200,1.10541,1.10594,1.1054,1.10584,810,7,0
64,1575878400,1.10584,1.10655,1.1058,1.10652,2093,7,0
65,1575885600,1.10652,1.10688,1.1061,1.10651,2468,7,0
66,1575892800,1.10651,1.10743,1.10605,1.10728,2120,7,0
67,1575900000,1.10728,1.10776,1.10699,1.10748,2537,7,0
68,1575907200,1.10748,1.10765,1.10651,1.1068500000000001,3044,7,0
69,1575914400,1.10687,1.10745,1.1054599999999999,1.10564,2470,7,0
70,1575921600,1.10564,1.10648,1.1055,1.10635,1574,7,0
71,1575928800,1.10635,1.10654,1.10616,1.10632,982,7,0
72,1575936000,1.10632,1.10654,1.10623,1.10641,971,7,0
73,1575943200,1.10641,1.1068,1.10625,1.10675,1210,7,0
74,1575950400,1.10674,1.10705,1.10666,1.10671,886,7,0
75,1575957600,1.10671,1.10688,1.10653,1.10667,976,7,0
76,1575964800,1.10667,1.10719,1.10647,1.10697,1192,7,0
77,1575972000,1.10697,1.10778,1.10689,1.10765,3173,7,0
78,1575979200,1.10765,1.1084100000000001,1.10694,1.10836,3252,7,0
79,1575986400,1.10836,1.10843,1.10735,1.10782,3338,7,0
80,1575993600,1.10782,1.10907,1.10735,1.10895,5000,7,0
81,1576000800,1.10894,1.1096300000000001,1.10842,1.10861,3386,7,0
82,1576008000,1.10863,1.1097299999999999,1.10843,1.10953,2000,7,0
83,1576015200,1.10953,1.10965,1.109,1.109,1700,7,0
84,1576022400,1.10905,1.10955,1.10857,1.10921,1615,7,0
85,1576029600,1.10921,1.10955,1.10899,1.10949,1775,7,0
86,1576036800,1.10949,1.10951,1.1091,1.10921,745,7,0
87,1576044000,1.10921,1.10922,1.10877,1.1089,809,7,0
88,1576051200,1.1089,1.10897,1.10824,1.10836,1878,7,0
89,1576058400,1.10838,1.10866,1.10791,1.10832,3419,7,0
90,1576065600,1.10832,1.10866,1.10782,1.10815,2999,7,0
91,1576072800,1.10815,1.1090200000000001,1.10698,1.1085,3468,7,0
92,1576080000,1.1085,1.10971,1.10827,1.10839,4279,7,0
93,1576087200,1.10839,1.10956,1.10839,1.10919,2834,7,0
94,1576094400,1.10919,1.11411,1.10876,1.11389,6063,7,0
95,1576101600,1.11388,1.11444,1.11277,1.11287,3895,7,0
96,1576108800,1.11288,1.11349,1.1126800000000001,1.11323,965,7,0
97,1576116000,1.11323,1.11399,1.11311,1.11395,1748,7,0
98,1576123200,1.11395,1.11438,1.11369,1.11432,1338,7,0
99,1576130400,1.11432,1.11435,1.11395,1.11396,975,7,0
100,1576137600,1.11396,1.11415,1.11356,1.11371,1864,7,0
101,1576144800,1.11372,1.1139000000000001,1.11243,1.11272,3165,7,0
102,1576152000,1.11271,1.11358,1.11261,1.11319,3228,7,0
103,1576159200,1.11319,1.11538,1.1126800000000001,1.11382,6134,7,0
104,1576166400,1.11383,1.11479,1.1111,1.11168,8832,7,0
105,1576173600,1.11168,1.11211,1.11078,1.11099,3289,7,0
106,1576180800,1.11099,1.1115,1.11027,1.11126,3596,7,0
107,1576188000,1.11126,1.11346,1.11106,1.11269,2724,7,0
108,1576195200,1.11276,1.1199,1.11114,1.1183,3872,7,0
109,1576202400,1.11826,1.1183,1.11675,1.11765,2978,7,0
110,1576209600,1.11765,1.11809,1.11698,1.11773,1869,7,0
111,1576216800,1.11773,1.11773,1.11703,1.11743,1399,7,0
112,1576224000,1.11743,1.11743,1.11626,1.1165,3292,7,0
113,1576231200,1.11652,1.11813,1.11645,1.11798,4479,7,0
114,1576238400,1.11799,1.11857,1.11737,1.11748,3204,7,0
115,1576245600,1.11748,1.11831,1.1166,1.11694,4365,7,0
116,1576252800,1.11693,1.11725,1.1125,1.11351,9760,7,0
117,1576260000,1.11351,1.11384,1.11121,1.11153,4787,7,0
118,1576267200,1.11153,1.11223,1.11147,1.11204,2149,7,0
119,1576274400,1.11209,1.11214,1.11117,1.11163,1720,7,0
120,1576454400,1.11263,1.11306,1.11223,1.11239,1383,7,0
121,1576461600,1.11239,1.11288,1.11228,1.11278,1327,7,0
122,1576468800,1.11279,1.11322,1.11279,1.11321,972,7,0
123,1576476000,1.11321,1.11362,1.11295,1.11346,983,7,0
124,1576483200,1.11346,1.11502,1.11337,1.1145100000000001,2513,7,0
125,1576490400,1.1145100000000001,1.11459,1.11258,1.11344,4320,7,0
126,1576497600,1.11344,1.11441,1.11331,1.11441,1976,7,0
127,1576504800,1.1144,1.11542,1.11413,1.11531,2805,7,0
128,1576512000,1.1153,1.11578,1.1135,1.11363,3073,7,0
129,1576519200,1.11364,1.1146,1.11345,1.11424,2489,7,0
130,1576526400,1.11424,1.11477,1.11412,1.11471,1375,7,0
131,1576533600,1.11471,1.11472,1.11408,1.11422,1185,7,0
132,1576540800,1.11422,1.11545,1.11339,1.11353,1727,7,0
