,tweet
41,@jennacttn lmao HYPOCRISY (not hyprocrisy) at its finest 🙄 #BBMduwag  https://t.co/hwpN26WtR9
42,#bbmduwag  https://t.co/HAUktMGK8O
43,"@IamCarolCapillo @albertsgalang @NeilTan79 @OfficiaLee15 haha. Wala na ba talaga kayong ma-rason?  Takot ba talaga si BBM sa mga verified at legitimate journalists?  Gusto niyang attendan yung debate na organized by a SEX TRAFFICKER, CRIMINALLY WANTED, at"
44,#bbmduwag
45,Sayang hindi natin makikita ang kanyang ngiti at mag alamano. ☹️  #BBMDUWAG  #BaBackoutMuli #MarcosDuwagParin #LeniDuwag  #ArawNgRosas
46,"This is not Breaking News but ""Expected Statement"" coming from his team.   They've realized that he self-destruct whenever he opens his mouth 🥱  #BBMDUWAG  #BaBackoutMuli #MarcosDuwagParin #LeniDuwag  #ArawNgRosas"
47,"“Useless ang debate na yan.” Sabi ng mga blind supporter. Hello, daig pa siya nung mga HS student na tumatakbo sa student government. 🥱  #BBMDUWAG  #BaBackoutMuli #MarcosDuwagParin #LeniDuwag  #ArawNgRosas"
48,"even his lawyers and spokesmen doesn’t have the confidence to leave him alone with things like these kasi halata namang di sya marunong magisip for himself, spoiled brat boy ngiwi nyo e 😂😂  #BBMDUWAG  #BaBackoutMuli #MarcosDuwagParin #LeniDuwag  #ArawNgRosas"
49,This should be his opportunity to spill all his scheme and intentions on why he run for president. People crave to know his aim and platforms.  #BBMDUWAG  #BaBackoutMuli #MarcosDuwagParin #LeniDuwag  #ArawNgRosas
50,#bbmduwag #BaBackOutMuli
51,"I find it hilarious that a lot of Filipinos like him so much, ""History shall repeat itself then."" I wonder who will suffer such consequences of appointing such incompetent person as the representative of the country. 🥱  #BBMDUWAG  #BaBackoutMuli #MarcosDuwagParin #LeniDuwag"
52,"So what else is new? His supporters will eventually realize he is unreliable, that he will not be there when needed the most.  #BBMDUWAG  #BaBackoutMuli #MarcosDuwagParin #LeniDuwag  #ArawNgRosas"
