"","date","username","tweet","hashtags","link"
"30","2/13/2022","mike_alcan_tara","iiral naman ang mga righteous na mga kakampinks akala mo ang lilinis pero nagcacampaign para magcancel ng mga tao tigilin nyo pagmamalinis at baka makakakuha pa kayu ng added supporters dame nyo drama na kesyo ganyan kesyo","['isko']","https://twitter.com/mike_alcan_tara/status/1492883499850018816"
"31","2/11/2022","canalvsan12","sa pinas pa no surprises there this is a country where majority of the voters are bobotantes dahil sikat dahil magaling magenglish dahil kapangalan ng diktador dati at thank you sa you tube university ang bbm niyo mananalo kaw","['iskoako']","https://twitter.com/canalvsan12/status/1491958891319418880"
"32","2/9/2022","swtrupnay","god first","['iskoako']","https://twitter.com/SwTruPnay/status/1491412055580360710"
"33","2/16/2022","linglingabe","pag ganito ang reception ng tao kay no need to withdrawang dapat magwithdraw ay yung ang dahilan sa pagtakbo","['yormeisko', 'paghihiganti', 'iskomoreno2022']","https://twitter.com/LinglingAbe/status/1493732677098217477"
"34","2/15/2022","linglingabe","mainit na tinanggap ang team in catarman northern samar","['biliskilos', 'kayiskoposible', 'yormeisko', 'iskomoreno', 'halalan2022']","https://twitter.com/LinglingAbe/status/1493509282578321410"
"35","2/15/2022","linglingabe","at allen northern samar","['yormeisko', 'kayiskoposible', 'kayiskodocwillieposible']","https://twitter.com/LinglingAbe/status/1493406244719439875"
"36","2/15/2022","linglingabe","welcome o lavazares samar","['yormeisko', 'kayiskoposiblen']","https://twitter.com/LinglingAbe/status/1493392469194842114"
"37","2/15/2022","linglingabe","hindi na ho bago yan kay 100m na pinagmodelan niya hindi bulsa niya nakinabangilang tao ang nakinabang nunsimple lang dapat ang leader sa panahon ng krisis di salita ang gagawa","['yormeisko', 'biliskilos']","https://twitter.com/LinglingAbe/status/1493348405414084608"
"38","2/15/2022","linglingabe","ito ang legit transparent and angat buhay","['kayiskoposible', 'kayiskodocwillieposible', 'yormeisko', 'bughawangmangingibabaw']","https://twitter.com/LinglingAbe/status/1493346923897835522"
"39","2/14/2022","linglingabe","dinumog ang motorcade ni","['yormeisko']","https://twitter.com/LinglingAbe/status/1493197859608358913"
"40","2/14/2022","linglingabe","yan ba ang hindi kilala understimated niyo kasi si 2022","['iskomoreno', 'yormeisko', 'halala', 'kayiskodocwillieposible']","https://twitter.com/LinglingAbe/status/1493186243844141061"
