,date,tweet
58,2/11/2022,election watchdog na partisan namfrel and pccrv
59,2/11/2022,this what bothers me not the other presidential candidate but the intervention of foreign government sa may 9
60,2/10/2022,yohoooooo
61,2/10/2022,marcos is back na nga ba
62,2/10/2022,tuloy ang laban dismissed disqualification case filed against bongbong marcos
63,2/10/2022,irrelevant hiyang hiya naman kami sa minority
64,2/10/2022,aray kupo his ratings playing from 50    and maintaining that for months now opppsss kalma lang daw kasi may smartmagic naman daw sila
65,2/9/2022,protect this family at all cost
66,2/9/2022,together we stand devided we fall lets unite for the country
67,2/9/2022,marcos fam
68,2/9/2022,yung hanggang sa panaginip ko kasama si kalokaaaaa
69,2/9/2022,halos magpatayan kayo dahil kay at pro hindi ka naka register sa election
70,2/9/2022,paranaque city
71,2/8/2022,first family legit na legit
72,2/14/2022,so sad lang na grabe ang mga paninira ngayon laban kay bbm
73,2/15/2022,for once i finally agreed to this man anyone qssociated with quiboloy must not hold any government office otherwise it would be the demise of my beloved country
74,2/14/2022,yes sa dulo tlgang dinuktungan para sbhing mahaba at maraming taolol
75,2/14/2022,louder lmao
76,2/14/2022,yes the villars are up to no good teaming with an unqualified bbm they have the ambition to control the country by hegemony thru the dirty tactics of plutocrat capitalism ibasura
77,2/14/2022,ilang debate pa ba mga loyalists ang kailangan di niya puntahan para madala at magising kayo kung may plataporma talino at may tunay na tapang haharap at haharap sa debate yan hindi puro unity ng mga magnanakaw
78,2/13/2022,this conversation is from one my my college friend na nagattend ng proclamtion rally ni bbm dito sa mandaluyong maduming makinarya
79,2/13/2022,hahahahahahahahaha el what sad die hahahahahahahahaha endorsement is not a guarantee we have our own ideology and belief
80,2/12/2022,hahahahaha ngaw ngaw naman ang kampon ng kadiliman hahahahaah paano pahiya pahiya jushkopo ngayon pilit pinaptrend ang
81,2/12/2022,hahahaha sadyang tanga lang ang hindi makaintindi palibhasa may napahiya hahahaha butata kaya pilit na pilit ang hashtag na ang totoo
82,2/12/2022,ngek
83,2/12/2022,hello comelec eh di naman pala ok ang tax evasiion eh di paki cancel na mg coc ng sinungaling na bbm na yan dami nyong kuda go straight to the point
84,2/11/2022,my parents are laughing at me right now and calling me tanga kasi hindi ako pumirma sa gaganaping rally ni bbm sa sunday dito sa mandaluyong and now they have free tshirt and 2k each at ako wala
85,2/11/2022,everything about that man is untrue let us not be deceived again
86,2/11/2022,spoiled brat is here and walang sinasantosanto abusado   its in his blood ireport na yarn
